Critical Quality Attributes,,,,,,,,,,,,,,,,,,,,,
S.No,LIMS Data,Batch #,Item Code #,Strength (mg),Ctd Mfg Date,Assay (Potency),Content Uniformity,,,Dissolution,,,,,,,,,Disintegration,Data Entry,
,,,,,,(97.0 - 105.0 %LC),(<=15)Acceptance Value,Mean,Std Dev,Min Value,Avg % at 30 minutes (Avg) ,Disso Stage,Disso Unit 01,Disso Unit 02,Disso Unit 03,Disso Unit 04,Disso Unit 05,Disso Unit 06,(<=10)Minutes,Entered By,Date
36,4L77138S-CHEM-0183045,4L77138S,1285475,5,12/4/2014,99,3.6,100.6,1.5,96,97,S1,97,98,98,98,97,96,6,SD,1/13/2015
37,4L77139S-CHEM-0183050,4L77139S,1285475,5,12/4/2014,98.4,3.1,100.5,1.3,93,96,S1,93,98,97,98,97,97,6,SD,1/13/2015
38,4L77140S-CHEM-0183055,4L77140S,1285475,5,12/5/2014,99.9,2.6,100.5,1.1,96,97,S1,97,96,96,98,96,98,6,SD,1/13/2015
39,4L77141S-CHEM-0183101,4L77141S,1285475,5,12/5/2014,99.3,2.2,100.3,0.9,95,96,S1,95,97,95,97,96,97,5,CDG,2/23/2015
40,4L77142S-CHEM-0183096,4L77142S,1285475,5,12/8/2014,99.3,2.7,99.6,1.1,95,96,S1,95,96,97,97,98,96,6,CDG,2/23/2015
41,4L77143S-CHEM-0183060,4L77143S,1285475,5,12/8/2014,99.6,3.6,100.2,1.5,96,97,S1,97,97,97,97,96,98,5,CDG,2/23/2015
42,4L77144S-CHEM-0183065,4L77144S,1285475,5,12/9/2014,101.1,2.8,101.1,1.2,97,98,S1,99,98,97,97,100,97,6,CDG,2/23/2015
43,4L77145S-CHEM-0183070,4L77145S,1285475,5,12/9/2014,100.5,2.1,101.1,0.9,97,98,S1,98,97,98,97,99,98,6,CDG,2/23/2015
44,4L77146S-CHEM-0183076,4L77146S,1285475,5,12/9/2014,100.8,3.2,101.5,1.3,97,98,S1,98,98,98,98,97,97,6,CDG,2/23/2015
45,4L77147S-CHEM-0183081,4L77147S,1285475,5,12/10/2014,100.3,2.1,101.1,0.9,96,99,S1,97,101,99,99,98,96,6,CDG,2/23/2015
46,4L77148S-CHEM-0183091,4L77148S,1285475,5,12/10/2014,100.5,2.3,100.3,1,97,99,S1,100,98,100,97,98,100,5,CDG,2/23/2015
47,4L77137S-CHEM-0183039,4L77137S,1285475,5,12/10/2014,99.6,4.9,99.9,2,95,97,S1,95,100,95,98,96,97,7,CDG,2/23/2015
48,4L78654WS-CHEM-0183312,4L78654W,1285475,5,12/11/2014,99.8,2,98.8,0.8,95,97,S1,97,98,97,95,97,97,5,SD,6/2/2015
49,4M59493S-CHEM-0187322,4M59493S,1285475,5,1/7/2015,100.4,3,101,1.2,95,97,S1,99,95,98,96,99,97,6,CDG,2/23/2015
50,4M59494S-CHEM-0187327,4M59494S,1285475,5,1/8/2015,100.7,2.6,101.8,1,96,97,S1,97,97,97,98,98,96,6,CDG,2/23/2015
51,4M59495S-CHEM-0187332,4M59495S,1285475,5,1/8/2015,100.3,2.6,100.8,1.1,96,98,S1,97,96,98,98,99,98,6,CDG,2/23/2015
52,4M59496S-CHEM-0187337,4M59496S,1285475,5,1/9/2015,100.3,3.2,101.1,1.3,97,98,S1,97,99,98,97,98,99,6,CDG,2/23/2015
53,4M59497S-CHEM-0187342,4M59497S,1285475,5,1/12/2015,100.2,2.7,100.9,1.1,97,98,S1,98,98,98,97,99,97,6,CDG,2/23/2015
54,4M59498S-CHEM-0187347,4M59498S,1285475,5,3/4/2015,100.3,3,99.1,1.3,93,95,S1,96,95,97,93,94,95,6,CDG,3/23/2015
55,5B82412S-CHEM-0195269,5B82412S,1285475,5,3/5/2015,101.1,1.8,99.9,0.7,94,95,S1,96,95,96,94,95,95,6,CDG,3/23/2015
56,5B82413S-CHEM-0195274,5B82413S,1285475,5,3/5/2015,100.4,2.2,99.1,0.9,94,96,S1,95,97,96,97,96,94,7,CDG,3/23/2015
57,5B82414S-CHEM-0195279,5B82414S,1285475,5,3/5/2015,100.5,3.6,100,1.5,94,96,S1,96,96,96,94,97,98,7,CDG,3/23/2015
58,5B82415S-CHEM-0195284,5B82415S,1285475,5,3/6/2015,99.8,4.7,99.6,2,94,96,S1,96,94,96,97,95,95,6,CDG,3/23/2015
59,5B82416S-CHEM-0195289,5B82416S,1285475,5,3/6/2015,100.5,2.6,100.1,1.1,95,96,S1,96,96,97,95,96,96,6,CDG,4/21/2015
60,5B82417S-CHEM-0195294,5B82417S,1285475,5,3/6/2015,100.1,2.7,99.4,1.1,95,95,S1,95,96,96,95,95,95,7,CDG,4/21/2015
61,5B82418S-CHEM-0195299,5B82418S,1285475,5,3/7/2015,100.3,3,98.9,1.2,95,96,S1,96,96,96,95,97,97,6,CDG,4/21/2015
62,5B82419S-CHEM-0196170,5B82419S,1285475,5,3/7/2015,99.9,4,100,1.6,95,96,S1,97,96,95,95,96,96,6,CDG,4/21/2015
63,5B82420S-CHEM-0196175,5B82420S,1285475,5,3/9/2015,100.7,2.3,100.1,0.9,95,96,S1,95,96,96,97,96,96,6,CDG,4/21/2015
64,5B82421S-CHEM-0196180,5B82421S,1285475,5,3/9/2015,100.4,2.1,99.4,0.9,94,96,S1,96,96,95,94,98,95,7,CDG,4/21/2015
65,5B82422S-CHEM-0196185,5B82422S,1285475,5,3/9/2015,100,2.7,99.6,1.1,94,95,S1,96,94,95,94,97,97,7,CDG,4/21/2015
66,5B82423S-CHEM-0196190,5B82423S,1285475,5,3/10/2015,100.1,2.3,100.1,1,94,95,S1,95,95,96,95,94,97,7,CDG,4/21/2015
67,5B82424S-CHEM-0196195,5B82424S,1285475,5,3/10/2015,99.8,2.1,100,0.9,94,96,S1,96,95,97,96,97,94,7,CDG ,5/20/2015
68,5B82425S-CHEM-0196200,5B82425S,1285475,5,3/11/2015,99.7,2.1,99.8,0.9,92,95,S1,96,95,92,95,97,94,6,CDG,4/21/2015
