S.No.,LIMS Entry,Batch No.,Item Code,Strength (mg),Mfg Date,Assay,Assay,Content Uniformity,,,Dissolution,,,,,,,,,,,,,,,Micro Testing,,,,,Physical Defects,,,,
28,3H65375S-MICRO-0122546,3H65375S,1262584,140,,140.3,100.21,2.8,100.5,1.2,93,91,S1,94,91,92,94,93,95,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,2,0,2
29,3H65376S-MICRO-0122551,3H65376S,1262584,140,,143.3,102.36,5.1,101.9,2,94,91,S1,96,96,94,91,94,94,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,1,0,1
30,3H65377S-MICRO-0122556,3H65377S,1262584,140,,144,102.86,3.4,102.8,0.8,96,92,S1,92,93,97,96,97,98,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,2,1,3
31,3L73686S-MICRO-0134063,3L73686S,1262584,140,,142.1,101.50,1.7,100.1,0.7,95,93,S1,96,95,94,97,93,95,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,2,0,2
32,3L73687S-MICRO-0134073,3L73687S,1262584,140,,139.1,99.36,3.2,100.3,1.3,94,93,S1,95,94,94,93,94,97,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,2,1,3
33,3L73688S-MICRO-0134078,3L73688S,1262584,140,,139.2,99.43,3.2,99.2,1.3,92,91,S1,92,92,91,93,92,94,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,4,0,4
34,3L73689S-MICRO-0134087,3L73689S,1262584,140,,138.2,98.71,3.5,99.4,1.5,93,91,S1,92,97,95,93,91,92,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,2,0,2
35,3M55003S-MICRO-0138223,3M55003S,1262584,140,,135.5,96.79,5.9,97.9,2.2,93,90,S1,90,96,94,91,96,92,,,,,,,10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,1,1
36,4C84991S-MICRO-0146712,4C84991S,1262584,140,,133.1,95.07,9.9,94.4,2.4,93,87,S1,91,98,91,94,94,87,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,11,11
37,4C84992S-MICRO-0146717,4C84992S,1262584,140,,133.1,95.07,9.4,92.7,1.5,93,89,S1,95,90,91,94,98,89,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,10,10
38,4C84993S-MICRO-0146722,4C84993S,1262584,140,,132.3,94.50,8.5,93,1.3,90,88,S1,90,91,92,89,90,88,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
39,4E78062S-MICRO-0155379,4E78062S,1262584,140,,138.9,99.21,4.5,99.8,1.9,95,92,S1,92,95,93,93,98,98,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
40,4E78063S-MICRO-0155450,4E78063S,1262584,140,,141.7,101.21,2,99.7,0.8,96,91,S1,96,97,91,99,97,98,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,1,0,1
41,4E82883S-MICRO-0159141,4E82883S,1262584,140,,142.1,101.50,2.7,99.6,1.1,99,97,S1,100,101,97,100,99,98,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
42,4H69170S-MICRO-0168477,4H69170S,1262584,140,8/27/2014,140.2,100.14,4.4,100.6,1.8,95,92,S1,98,95,95,96,92,92,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,4,4
43,4H69171S-MICRO-0168482,4H69171S,1262584,140,8/27/2014,137.7,98.36,3.7,98.6,1.6,91,89,S1,91,94,89,89,93,91,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,1,1
44,4J80220S-MICRO-0172691,4J80220S,1262584,140,,141.5,101.07,2.8,101.3,1.2,96,91,S1,91,96,96,98,98,96,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,11,11
45,4J80221S-MICRO-0172696,4J80221S,1262584,140,,139.9,99.93,2.6,100.6,1.1,97,93,S1,93,99,94,98,99,98,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,1,4,5
46,4J80222S-MICRO-0172701,4J80222S,1262584,140,,139,99.29,2.6,100.2,1.1,93,89,S1,97,89,96,90,93,94,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,2,2
47,4J80223S-MICRO-0172706,4J80223S,1262584,140,,140.7,100.50,4.7,99.9,1.9,95,88,S1,88,98,95,93,97,96,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,2,2
48,4L76129S-MICRO-0180579,4L76129S,1262584,140,,139.9,99.93,4.3,101.1,1.8,94,91,S1,95,93,94,97,95,91,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,1,5,6
49,4L76130S-MICRO-0180584,4L76130S,1262584,140,,140.2,100.14,3.7,100.2,1.5,97,95,S1,95,98,96,97,99,95,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,1,7,8
50,4M57705S-MICRO-0185433,4M57705S,1262584,140,,137.3,98.07,4,98.7,1.7,89,87,S1,90,87,89,90,87,91,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,3,15,18
51,4M57707S-MICRO-0185438,4M57707S,1262584,140,,139.9,99.93,4.8,98.2,1.9,92,91,S1,91,95,94,91,94,91,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,11,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,5B82538S-MICRO-0195021,5B82538S,1262584,140,,143.3,102.36,4.4,101.5,1.8,94,87,S1,92,91,97,98,97,87,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,1,9,10
53,5B82539S-MICRO-0195026,5B82539S,1262584,140,,139.6,99.71,4.3,99.7,1.8,96,93,S1,93,96,101,95,94,100,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,2,12,14
54,5B82543S-MICRO-0195031,5B82543S,1262584,140,,140.2,100.14,4.3,99.8,1.8,94,91,S1,95,95,97,91,94,93,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,5,7,12
55,5B82544S-MICRO-0195036,5B82544S,1262584,140,,140.6,100.43,6.1,100.7,2.6,92,88,S1,89,96,88,95,89,94,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,2,2
56,5B82545S-MICRO-0195041,5B82545S,1262584,140,,141,100.71,6.3,101.9,2.5,97,94,S1,96,98,94,98,98,98,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,7,7
