S.No.,LIMS Entry,Batch No.,Item Code,Strength (mg),Mfg Date,Assay,Assay,Content Uniformity,,,Dissolution,,,,,,,,,,,,,,,Micro Testing,,,,,Physical Defects,,,,
,,,,,,(133.0 - 147.0 mg/tablet),(95.0 - 105.0%) ,Acceptance Value (<=15.0),Avg Percentage of Label  (95.0 - 105.0),Std Deviation,Avg  (>=85),Min,Stage,Disso - Unit 1,Disso - Unit 2,Disso - Unit 3,Disso - Unit 4,Disso - Unit 5,Disso - Unit 6,Disso - Unit 7,Disso - Unit 8,Disso - Unit 9,Disso - Unit 10,Disso - Unit 11,Disso - Unit 12,TAMC  (<=1000 CFU/g),TYMC  (<100 CFU/g),E-Coli  (ABSENT_1G),Absence of Salmonella Species (ABSENT_10G),BTGN (<=100 CFU/g),Critical,Major,Minor,Non-Critical,Total Defects
1,0J6031P-MICRO-0000510,0J6031P,1262584,140,,135.3,96.64,8,98.2,3.1,91,85,S1,88,91,89,96,85,95,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,,,,,
2,1E6050P-MICRO-0025700,1E6050P,1262584,140,,141.4,101.00,8.7,100,3.6,95,90,S1,95,95,92,90,93,103,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,1,0,1
3,1F6037P-MICRO-0028582,1F6037P,1262584,140,,142.9,102.07,6.8,103.3,2.1,97,93,S1,93,96,96,100,100,97,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
4,1G6060P-MICRO-0032335,1G6060P,1262584,140,,142.8,102.00,6.6,99.8,2.8,92,90,S1,93,99,90,94,90,90,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
5,2A6013P-MICRO-0051052,2A6013P,1262584,140,,139.1,99.36,4,99.4,1.7,94,92,S1,96,96,93,92,92,96,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
6,2A6014P-MICRO-0051057,2A6014P,1262584,140,,139.5,99.64,3,99.2,1.3,92,90,S1,91,93,90,94,92,93,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
7,2A6015P-MICRO-0051062,2A6015P,1262584,140,,139.8,99.86,3.8,99.3,1.6,93,91,S1,91,96,95,94,93,91,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
8,2C6056P-MICRO-0061161,2C6056P,1262584,140,,139.6,99.71,3.8,101.1,1.6,92,88,S1,89,92,92,93,88,96,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,2,2,4
9,2C6057P-MICRO-0061166,2C6057P,1262584,140,,141.2,100.86,3.6,98.7,1.5,90,87,S1,87,89,90,91,93,94,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,1,0,1
10,2E6078P-MICRO-0068130,2E6078P,1262584,140,,139.9,99.93,2.8,101,1.2,91,87,S1,87,89,92,92,92,95,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,2,2
11,2E6079P-MICRO-0068136,2E6079P,1262584,140,,138.6,99.00,4.2,99.6,1.8,89,85,S1,85,92,88,89,87,92,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
12,2E6080P-MICRO-0068141,2E6080P,1262584,140,,137.1,97.93,3.7,98.9,1.5,92,89,S1,92,89,93,93,93,91,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
13,2G6036P-MICRO-0073207,2G6036P,1262584,140,,138.9,99.21,2.6,99.9,1.1,90,88,S1,88,90,89,92,91,93,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,3,3
14,2G6037P-MICRO-0073212,2G6037P,1262584,140,,140.5,100.36,5.1,102,1.9,92,89,S1,89,93,94,91,90,95,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,1,1
15,2G6038P-MICRO-0073217,2G6038P,1262584,140,,145.6,104.00,5.6,104,1.3,95,90,S1,96,97,90,92,94,99,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,10,10
16,2H6029P-MICRO-0077649,2H6029P,1262584,140,,135.6,96.86,7.8,95.6,2,86,83,S2,83,87,85,87,87,88,83,87,86,88,86,88,10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,3,3
17,2H6047P-MICRO-0077724,2H6047P,1262584,140,,141.9,101.36,4.1,102.4,1.3,94,91,S1,96,92,95,93,95,91,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
18,2H6048P-MICRO-0077729,2H6048P,1262584,140,,140,100.00,4,102.5,1.2,91,88,S1,94,89,91,92,93,88,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,1,1
19,2H6049P-MICRO-0077734,2H6049P,1262584,140,,139.1,99.36,4.5,100.8,1.9,90,86,S1,86,87,91,87,96,93,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,3,3
20,2H6050P-MICRO-0077739,2H6050P,1262584,140,,142,101.43,8.2,101.6,3.4,90,88,S1,90,92,90,89,88,88,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,6,6
21,2H6051P-MICRO-0077744,2H6051P,1262584,140,,139.6,99.71,5.1,101.3,2.1,92,89,S1,93,95,95,90,89,92,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,2,2
22,2M6020P-MICRO-0092400,2M6020P,1262584,140,,139.4,99.57,7.2,99.7,3,91,89,S1,90,91,94,89,91,91,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,1,1
23,3B6012P-MICRO-0098829,3B6012P,1262584,140,,138.7,99.07,2.2,100.3,0.9,92,89,S1,96,91,89,91,90,93,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,4,4
24,3B6013P-MICRO-0098834,3B6013P,1262584,140,,138.3,98.79,3.8,98.8,1.6,90,85,S1,85,94,93,90,88,90,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
25,3C6023P-MICRO-0104484,3C6023P,1262584,140,,141.6,101.14,3.1,100.6,1.3,95,92,S1,93,97,92,95,94,97,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,2,0,2
26,3E6013P-MICRO-0108626,3E6013P,1262584,140,,143.1,102.21,8,99,3.4,94,92,S1,92,96,92,96,96,95,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
27,3E6014P-MICRO-0108631,3E6014P,1262584,140,,139.3,99.50,4.6,101.2,1.9,93,89,S1,91,95,89,94,93,96,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
