S.No.,LIMS Entry,Batch No.,Item Code,Strength (mg),Mfg Date,Assay,Assay ,Content Uniformity,,,Dissolution,,,,,,,,,Micro Testing,,,,,Physical Defects,,,,
,,,,,,(19.0 - 21.0 mg/tablet),(95.0 - 105.0%) ,Acceptance Value (<=15.0),Avg Percentage of Label  (95.0 - 105.0),Std Deviation,Avg  (>=85),Min,Stage,Disso - Unit 1,Disso - Unit 2,Disso - Unit 3,Disso - Unit 4,Disso - Unit 5,Disso - Unit 6,TAMC  (<=1000 CFU/g),TYMC  (<100 CFU/g),E-Coli  (ABSENT_1G),Absence of Salmonella Species (ABSENT_10G),BTGN (<=100 CFU/g),Critical,Major,Minor,Non-Critical,Total Defects
28,3M54994S-MICRO-0138323,3M54994S,1184405,20,,19.7,98.5,2.8,98.1,1,98,97,S1,97,98,98,97,101,97,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,3,3
29,4C84995S-MICRO-0146727,4C84995S,1184405,20,,20.2,101,5,99.8,2.1,99,97,S1,100,103,97,100,99,98,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
30,4C84988S-MICRO-0146782,4C84988S,1184405,20,,19.7,98.5,3.7,97.3,1,96,94,S1,94,97,94,101,95,97,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
31,4C88799S-MICRO-0149708,4C88799S,1184405,20,,19.8,99,1.6,99.4,0.7,95,94,S1,94,97,96,96,94,95,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
32,4E78059S-MICRO-0155353,4E78059S,1184405,20,,19.7,98.5,4.5,99.1,1.9,100,95,S1,95,106,98,103,98,100,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
33,4E81621S-MICRO-0158472,4E81621S,1184405,20,,19.9,99.5,1.8,99.2,0.7,100,96,S1,99,102,96,101,100,99,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
34,4H69146S-MICRO-0168322,4H69146S,1184405,20,,19.3,96.5,4.1,98.6,1.7,94,92,S1,96,92,94,93,94,95,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
35,4H69147S-MICRO-0168327,4H69147S,1184405,20,,19.3,96.5,5.2,96.9,1.5,95,92,S1,97,94,92,97,96,97,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
36,4H69148S-MICRO-0168332,4H69148S,1184405,20,,19.2,96,4.7,98.3,1.9,95,94,S1,95,95,95,94,95,98,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,1,1
37,4J80186S-MICRO-0172780,4J80186S,1184405,20,,20.1,100.5,5.1,100.4,2.1,93,85,S1,100,96,94,86,85,98,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,1,1
