S.No,LIMS Batch No.,Batch No.,Mfg Date,Item Code,Alert Notice,Disso-Avg (Avg % dissolved in 30mins: 85% (Q),Disso - Min,Disso-Stage,DS -UNIT 01,DS - UNIT 02,DS - UNIT 03,DS - UNIT 04,DS - UNIT 05,DS - UNIT 06,DS - UNIT 07,DS - UNIT 08,DS - UNIT 09,DS - UNIT 10,DS - UNIT 11,DS - UNIT 12,Acceptance Value (<=15.0),CU - Percent of Label,CU - Std Deviation,Potency Assay (289.8 - 315.0 mg (mg/capsule),Total Impurities (<=0.05%),NUMBER CRITICAL,NUMBER MAJOR,NUMBER MINOR,NUMBER NONCRITICAL,TOTAL NUMBER DEFECTS
1,2B5013P-CHEM-0054886,2B5013P,,1144258A1,NO,100,97,S1,102,102,102,100,97,97,,,,,,,3.8,99.3,1.6,148.9,<0.05,0,0,0,0,0
2,2B5014P-CHEM-0054890,2B5014P,,1144258A1,NO,96,91,S1,98,98,97,97,94,91,,,,,,,2.2,99.6,0.9,149.4,<0.05,0,0,0,1,1
3,2B5015P-CHEM-0054900,2B5015P,,1144258A1,NO,98,94,S1,100,100,101,98,94,95,,,,,,,3.6,99.9,1.5,149.9,<0.05,0,0,0,3,3
4,2C5001P-CHEM-0057318,2C5001P,,1144258A1,NO,98,92,S1,102,100,98,99,94,92,,,,,,,1.9,101.3,0.8,152,<0.05,0,0,0,0,0
5,2D5009P-CHEM-0061715,2D5009P,,1144258A1,NO,99,97,S1,101,103,100,97,97,97,,,,,,,3.1,101.3,1.3,152,<0.05,0,0,2,2,4
6,2D5010P-CHEM-0061719,2D5010P,,1144258A1,NO,99,93,S1,102,102,99,100,98,93,,,,,,,1.4,100.5,0.6,150.8,<0.05,0,0,0,1,1
7,2D5011P-CHEM-0061726,2D5011P,,1144258A1,NO,100,96,S1,103,104,99,98,96,96,,,,,,,2.2,100.4,0.9,150.6,<0.05,0,0,0,0,0
8,2D5012P-CHEM-0061733,2D5012P,,1144258A1,NO,99,97,S1,103,101,99,97,99,97,,,,,,,2.4,100.4,1,150.6,<0.05,0,0,4,5,9
9,2E5006P-CHEM-0065977,2E5006P,,1144258A1,NO,97,95,S1,99,98,97,97,95,96,,,,,,,2.2,101.3,0.9,151.9,<0.05,0,0,0,1,1
10,2F5001P-CHEM-0069849,2F5001P,,1144258A1,NO,99,95,S1,101,102,98,99,95,100,,,,,,,3.6,102.5,1.1,153.8,<0.05,0,0,0,0,0
11,2F5002P-CHEM-0069856,2F5002P,,1144258A1,NO,100,98,S1,98,101,101,99,100,98,,,,,,,3.4,101.5,1.4,152.3,<0.05,0,0,0,0,0
12,2F5003P-CHEM-0069867,2F5003P,,1144258A1,NO,97,94,S1,98,102,97,101,94,94,,,,,,,2.5,102.1,0.8,153.1,<0.05,0,0,0,0,0
13,2F5055P-CHEM-0071679,2F5055P,,1144258A1,YES,98,93,S1,100,101,98,94,93,98,,,,,,,3.1,102,1.1,153,<0.05,0,0,1,0,1
14,2G5117P-CHEM-0076037,2G5117P,,1144258A1,NO,99,98,S1,99,98,99,99,98,101,,,,,,,3.4,99.3,1.4,148.9,<0.05,0,0,0,0,0
15,2K5006P-CHEM-0085065,2K5006P,,1144258A1,NO,103,101,S1,102,104,102,104,101,101,,,,,,,3.1,101.7,1.2,152.6,<0.05,0,0,0,2,2
16,2K5007P-CHEM-0085072,2K5007P,,1144258A1,NO,102,101,S1,103,101,101,102,101,102,,,,,,,3.1,101.7,1.2,152.5,<0.05,0,0,0,2,2
17,2K5008P-CHEM-0085077,2K5008P,,1144258A1,NO,102,102,S1,102,102,102,102,103,103,,,,,,,2.4,102.2,0.7,153.3,<0.05,0,0,0,1,1
18,2K5077P-CHEM-0087794,2K5077P,,1144258A1,NO,101,100,S1,102,101,101,100,103,100,,,,,,,2.4,101.7,0.9,152.5,<0.05,0,0,0,0,0
19,2L5003P-CHEM-0088511,2L5003P,,1144258A1,NO,101,99,S1,101,99,105,100,101,99,,,,,,,2.2,100.1,0.9,150.1,<0.05,0,0,0,3,3
20,2L5004P-CHEM-0088518,2L5004P,,1144258A1,NO,101,98,S1,98,100,99,103,101,102,,,,,,,2.2,101.3,0.9,152,<0.05,0,0,0,0,0
21,2M5010P-CHEM-0092160,2M5010P,,1144258A1,NO,101,99,S1,103,100,99,99,102,100,,,,,,,3.6,101,1.5,151.5,<0.05,0,0,0,0,0
22,2M5011P-CHEM-0092164,2M5011P,,1144258A1,NO,101,99,S1,100,101,102,99,102,100,,,,,,,2.2,100.9,0.9,151.3,<0.05,0,0,0,0,0
23,3A5083P-CHEM-0097987,3A5083P,1/30/2013,1144258A1,NO,101,96,S1,96,103,100,101,101,103,,,,,,,2.9,102,1,153,<0.05,0,0,0,3,3
24,3A5084P-CHEM-0097991,3A5084P,1/31/2013,1144258A1,NO,100,98,S1,98,100,102,101,102,99,,,,,,,3.8,101.5,1.6,152.3,<0.05,0,0,0,1,1
25,3C5001P-CHEM-0100987,3C5001P,3/5/2013,1144258A1,NO,102,98,S1,98,102,100,104,102,105,,,,,,,2.6,101.7,1,152.5,<0.05,0,0,0,0,0
26,3C5002P-CHEM-0100991,3C5002P,3/6/2013,1144258A1,NO,102,99,S1,99,101,103,103,102,103,,,,,,,2.8,103.1,0.5,154.7,<0.05,0,0,0,3,3
27,3C5003P-CHEM-0100995,3C5003P,3/7/2013,1144258A1,NO,101,98,S1,98,102,102,101,101,102,,,,,,,3.2,102.3,1,153.4,<0.05,0,0,0,0,0
28,3D5056P-CHEM-0107804,3D5056P,4/16/2013,1144258A1,NO,101,99,S1,103,102,100,100,99,105,,,,,,,3.4,100.9,1.4,151.3,<0.05,0,0,0,0,0
29,3D5057P-CHEM-0107808,3D5057P,4/18/2013,1144258A1,NO,102,99,S1,99,101,103,101,103,104,,,,,,,3.1,102.2,1,153.3,<0.05,0,0,0,0,0
30,3D5058P-CHEM-0107812,3D5058P,4/19/2013,1144258A1,NO,100,99,S1,99,99,102,99,103,101,,,,,,,3.4,100.6,1.4,150.9,<0.05,0,0,0,0,0
31,3D5059P-CHEM-0107819,3D5059P,4/19/2013,1144258A1,NO,100,96,S1,102,101,96,101,97,101,,,,,,,1.9,100.9,0.8,151.4,<0.05,0,0,0,0,0
32,3D5060P-CHEM-0107826,3D5060P,4/20/2013,1144258A1,NO,100,99,S1,99,102,100,100,102,99,,,,,,,1.4,101.4,0.6,152.1,<0.05,0,0,0,0,0
33,3E5110P-CHEM-0112746,3E5110P,5/30/2013,1144258A1,YES,100,97,S1,97,101,102,101,98,102,,,,,,,5,100.5,2.1,150.8,<0.05,0,0,1,3,4
34,3H66901-CHEM-0124204,3H66901,9/19/2013,1144258A1,YES,99,95,S1,99,101,99,101,100,95,,,,,,,1.9,101.1,0.8,151.7,<0.05,0,0,0,0,0
35,3J76208-CHEM-0126801,3J76208,10/4/2013,1144258A1,NO,101,99,S1,101,103,99,103,100,101,,,,,,,1.7,101.5,0.7,152.3,<0.05,0,0,1,0,1
36,3J76209-CHEM-0126808,3J76209,10/7/2013,1144258A1,NO,102,100,S1,100,102,103,103,104,103,,,,,,,2.6,101.9,0.9,152.8,<0.05,0,0,4,0,4
37,3K77017-CHEM-0130072,3K77017,10/28/2013,1144258A1,NO,100,96,S1,96,100,101,101,100,101,,,,,,,2.9,100.3,1.2,150.5,<0.05,0,0,0,0,0
38,3K77018-CHEM-0130079,3K77018,10/29/2013,1144258A1,NO,101,100,S1,101,100,102,101,101,101,,,,,,,2.2,101,0.9,151.5,<0.05,0,0,0,0,0
39,3K77019-CHEM-0130086,3K77019,10/30/2013,1144258A1,YES,101,99,S1,99,99,103,101,100,104,,,,,,,2.9,102.5,0.8,153.7,<0.05,0,0,0,0,0
40,3K77020-CHEM-0130093,3K77020,10/30/2013,1144258A1,NO,101,100,S1,101,101,102,104,101,100,,,,,,,3.6,102.2,1.2,153.3,<0.05,0,0,0,0,0
41,3K77021-CHEM-0130101,3K77021,10/31/2013,1144258A1,NO,101,98,S1,98,100,101,103,101,101,,,,,,,2.5,102.8,0.5,154.2,<0.05,0,0,0,0,0
42,3K77022-CHEM-0130108,3K77022,11/1/2013,1144258A1,NO,100,100,S1,100,100,100,101,101,101,,,,,,,2.5,101.8,0.9,152.6,<0.05,0,0,0,1,1
43,3K77023-CHEM-0130115,3K77023,11/1/2013,1144258A1,NO,100,100,S1,101,101,102,100,100,100,,,,,,,2.9,101.8,1.1,152.7,<0.05,0,0,0,2,2
44,3M54363-CHEM-0137334,3M54363,1/6/2014,1144258A1,NO,101,100,S1,100,102,100,102,100,101,,,,,,,2.3,102.1,0.7,153.2,<0.05,0,0,0,0,0
45,4D80104-CHEM-0152371,4D80104,5/12/2014,1144258A1,YES,101,99,S1,101,103,99,100,103,103,,,,,,,5.2,104.1,1.1,156.1,<0.05,0,0,0,2,2
46,4D80948-CHEM-0153295,4D80948,5/9/2014,1144258A1,NO,100,90,S1,104,104,101,102,101,90,,,,,,,4.8,103.2,1.3,154.9,<0.05,0,0,0,0,0
47,4G80704-CHEM-0165444,4G80704,9/8/2014,1144258A1,NO,102,101,S1,103,102,101,101,101,101,,,,,,,2.2,101.4,0.9,152.1,<0.05,0,0,0,3,3
48,4L78163-CHEM-0182853,4L78163,12/4/2014,1144258A1,NO,101,99,S1,101,103,99,101,99,102,,,,,,,2.7,101.6,1.1,152.4,<0.05,0,0,0,1,1
49,5C90171-CHEM-0198647,5C90171,3/18/2015,1144258A1,NO,101,100,S1,102,103,101,100,103,100,,,,,,,3.2,102.3,1,153.5,<0.05,0,0,0,0,0
50,5D83496-CHEM-0206447,5D83496,5/6/2015,1144258A1,NO,101,100,S1,101,102,102,102,100,102,,,,,,,2.4,101.3,1,152,<0.05,0,0,0,3,3
