S.No,LIMS Authorized batches,Batch no.,,Item Code,Mfg Date,Strength,Potency (Assay),Content Uniformity ,,,,,,Dissolution,,,,,,,,,AQL (Physical appearance),,,,
,,,,,,(mg),(95.5 - 103.5%),(Avg % of Lab results) (95.5 - 103.5%),Std Deviation % Lab results,Acceptance Value (<=15.0),%RSD,CV % Limit,Tier,Average (>=80% (Q)),Minimum,Stage,UNIT 01,UNIT 02,UNIT 03,UNIT 04,UNIT 05,UNIT 06,No. Critical,No.Major,No. Minor,No. Non-Critical,Total
41,4K82693S-MICRO-0177218,4K82693S,,1303085,11/4/2014,60,101.8,101.5,1.2,2.9,,,,99,96,S1,101,100,100,96,99,98,0,0,1,0,1
42,4K82694S-MICRO-0177224,4K82694S,,1303085,11/5/2014,60,100.7,99.9,2.4,5.7,,,,99,95,S1,95,101,99,100,101,100,0,0,0,2,2
43,4K82695S-MICRO-0177228,4K82695S,,1303085,11/5/2014,60,100.3,99.8,1.5,3.6,,,,100,98,S1,100,100,98,101,101,98,0,0,0,0,0
44,4K82696S-MICRO-0177232,4K82696S,,1303085,11/6/2014,60,99.6,99.2,1.6,3.9,,,,99,96,S1,99,100,98,102,100,96,0,0,1,0,1
45,4L77150S-MICRO-0185140,4L77150S,,1303085,1/11/2015,60,97.9,100,1.8,4.4,1.84,3.21,,94,93,S1,94,94,96,93,96,94,0,0,0,2,2
46,4L76651S-MICRO-0181018,4L76651S,,1303085,1/13/2015,60,98.6,99.9,1.5,3.6,1.49,3.19,,94,93,S1,97,93,95,94,93,95,0,0,0,1,1
47,4L76652S-MICRO-0181022,4L76652S,,1303085,1/13/2015,60,100,101.2,1.3,3.1,1.27,2.94,,96,95,S1,97,96,97,95,95,98,0,0,0,2,2
48,4L76653S-MICRO-0181026,4L76653S,,1303085,1/14/2015,60,100.6,100.7,0.9,2.1,0.85,3.05,,97,95,S1,97,99,98,97,97,95,0,0,1,11,12
49,4L76654S-MICRO-0181030,4L76654S,,1303085,1/14/2015,60,98.6,100.3,1.1,2.7,1.11,3.14,,97,97,S1,97,98,97,97,97,98,0,0,1,3,4
50,4L76655S-MICRO-0181034,4L76655S,,1303085,1/15/2015,60,99.5,100.1,1.3,3.2,1.34,3.19,,97,95,S1,95,96,97,97,97,97,0,0,0,0,0
