S.No,LIMS Batch No.,Batch No.,Mfg Date,Item Code,Alert Notice,Disso-Avg (Avg % dissolved in 30mins: 85% (Q),Disso - Min,Disso-Stage,DS -UNIT 01,DS - UNIT 02,DS - UNIT 03,DS - UNIT 04,DS - UNIT 05,DS - UNIT 06,DS - UNIT 07,DS - UNIT 08,DS - UNIT 09,DS - UNIT 10,DS - UNIT 11,DS - UNIT 12,Acceptance Value (<=15.0),CU - Percent of Label,CU - Std Deviation,Potency Assay (289.8 - 315.0 mg (mg/capsule),Total Impurities (<=0.05%),NUMBER CRITICAL,NUMBER MAJOR,NUMBER MINOR,NUMBER NONCRITICAL,TOTAL NUMBER DEFECTS
133,4D80984-CHEM-0153487,4D80984,5/14/2014,1106588A1,NO,101,100,S1,102,101,101,100,102,100,,,,,,,2.2,102.5,0.5,205,0.07,0,0,0,3,3
134,4D80982-CHEM-0153446,4D80982,6/9/2014,1106588A1,YES,100,99,S1,99,101,100,100,101,99,,,,,,,1.7,100.9,0.7,201.8,<0.05,0,0,0,1,1
135,4D80983-CHEM-0153483,4D80983,6/10/2014,1106588A1,NO,100,98,S1,98,101,100,101,100,101,,,,,,,1.4,100.2,0.6,200.4,<0.05,0,0,3,0,3
137,4D81651-CHEM-0154533,4D81651,6/12/2014,1106588A1,NO,102,101,S1,101,101,102,103,101,101,,,,,,,2.2,101.4,0.9,202.8,<0.05,0,0,2,1,3
138,4G78256-CHEM-0163416,4G78256,8/11/2014,1106588A1,NO,100,98,S1,102,101,99,100,98,100,,,,,,,1.4,101,0.6,202,0.08,0,0,0,0,0
139,4G78257-CHEM-0163421,4G78257,8/18/2014,1106588A1,NO,99,99,S1,102,100,99,99,99,99,,,,,,,1.7,99.9,0.7,199.9,0.07,0,0,0,1,1
140,4G78258-CHEM-0163425,4G78258,8/18/2014,1106588A1,NO,100,97,S1,99,99,101,99,97,101,,,,,,,1.4,101.3,0.6,202.5,0.07,0,0,0,4,4
141,4G80703-CHEM-0165440,4G80703,9/15/2014,1106588A1,NO,100,99,S1,99,99,100,101,101,101,,,,,,,1.2,100.6,0.5,201.3,0.07,0,0,0,1,1
142,4J81678-CHEM-0174385,4J81678,10/20/2014,1106588A1,NO,99,97,S1,99,97,101,98,100,100,,,,,,,1.4,101.2,0.6,202.4,<0.05,0,0,0,0,0
143,4K82711-CHEM-0177255,4K82711,10/27/2014,1106588A1,NO,100,98,S1,98,102,100,101,102,99,,,,,,,1.4,100.5,0.6,200.9,0.08,0,0,0,0,0
144,4K82712-CHEM-0177259,4K82712,10/27/2014,1106588A1,NO,102,100,S1,100,101,102,104,101,102,,,,,,,1.7,101,0.7,202,0.08,0,0,0,0,0
145,4K82713-CHEM-0177263,4K82713,10/27/2014,1106588A1,NO,101,99,S1,99,100,101,101,102,102,,,,,,,1.9,100.9,0.8,201.8,0.08,0,0,0,3,3
146,4K82714-CHEM-0177267,4K82714,10/28/2014,1106588A1,NO,101,100,S1,100,102,101,102,101,103,,,,,,,1.9,100.9,0.8,201.8,0.07,0,0,0,1,1
147,4K82715-CHEM-0177271,4K82715,10/28/2014,1106588A1,YES,102,100,S1,100,102,100,102,103,102,,,,,,,2.4,101,1,202.1,0.06,0,0,0,1,1
148,4K82716-CHEM-0177275,4K82716,10/29/2014,1106588A1,NO,101,99,S1,99,102,103,101,101,101,,,,,,,1.4,101.4,0.6,202.8,0.08,0,0,0,0,0
149,4L78160-CHEM-0182840,4L78160,12/3/2014,1106588A1,NO,102,100,S1,100,101,102,102,101,102,,,,,,,1.6,101.9,0.5,203.7,0.07,0,0,0,2,2
150,5A87624-CHEM-0189397,5A87624,1/26/2015,1106588A1,NO,101,99,S1,99,100,100,101,102,100,,,,,,,1.6,101.7,0.6,203.5,0.05,0,0,0,1,1
151,5B82571-CHEM-0194871,5B82571,2/27/2015,1106588A1,NO,101,101,S1,101,102,101,103,101,101,,,,,,,1.7,101.1,0.7,202.1,<0.05,0,0,0,0,0
152,5B82572-CHEM-0194875,5B82572,3/2/2015,1106588A1,NO,103,102,S1,103,102,103,104,104,103,,,,,,,3.3,102.2,1.1,204.4,<0.05,0,0,0,0,0
153,5B82573-CHEM-0194879,5B82573,3/2/2015,1106588A1,NO,101,100,S1,101,100,101,101,103,101,,,,,,,1.4,101.4,0.6,202.8,<0.05,0,0,0,0,0
154,5B82574-CHEM-0194884,5B82574,3/3/2015,1106588A1,NO,100,100,S1,100,100,100,100,101,101,,,,,,,2,101.8,0.7,203.5,<0.05,0,0,0,0,0
155,5B82575-CHEM-0194888,5B82575,3/3/2015,1106588A1,NO,101,101,S1,101,101,101,101,101,101,,,,,,,1.9,101.7,0.7,203.4,<0.05,0,0,0,0,0
156,5B82576-CHEM-0194892,5B82576,3/4/2015,1106588A1,NO,101,98,S1,101,102,98,103,103,98,,,,,,,2.3,102.4,0.6,204.8,<0.05,0,0,0,1,1
