S.No.,LIMS Entry,Batch No.,Item Code,Strength (mg),Mfg Date,Assay,Assay,Content Uniformity,,,Dissolution,,,,,,,,,,,,,,,Micro Testing,,,,,Physical Defects,,,,
,,,,,,(47.5 - 52.5 mg/tablet),(95.0 - 105.0%) ,Acceptance Value (<=15.0),Avg Percentage of Label  (95.0 - 105.0),Std Deviation,Avg  (>=85),Min,Stage,Disso - Unit 1,Disso - Unit 2,Disso - Unit 3,Disso - Unit 4,Disso - Unit 5,Disso - Unit 6,Disso - Unit 7,Disso - Unit 8,Disso - Unit 9,Disso - Unit 10,Disso - Unit 11,Disso - Unit 12,TAMC  (<=1000 CFU/g),TYMC  (<100 CFU/g),E-Coli  (ABSENT_1G),Absence of Salmonella Species (ABSENT_10G),BTGN (<=100 CFU/g),Critical,Major,Minor,Non-Critical,Total Defects
1,1B6026P-MICRO-0016247,1B6026P,1184407,50,,48.5,97,4.2,98.1,1.6,93,90,S1,94,94,91,94,90,96,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,,,,,
2,1B6027P-MICRO-0016252,1B6027P,1184407,50,,49.1,98.2,3.2,98,1.1,94,89,S1,89,95,94,91,98,97,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,,,,,
3,1C6049P-MICRO-0019408,1C6049P,1184407,50,,49.5,99,3.6,97.9,1.3,96,93,S1,93,93,99,97,95,97,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
4,1D6043P-MICRO-0023256,1D6043P,1184407,50,,49.5,99,2.1,99.3,0.9,97,92,S1,92,97,97,97,100,101,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
5,1E6047P-MICRO-0025681,1E6047P,1184407,50,,49.3,98.6,4.2,98.8,1.7,98,96,S1,96,99,99,98,96,100,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
6,1F6028P-MICRO-0028542,1F6028P,1184407,50,,48.6,97.2,4.2,98,1.6,94,88,S1,88,96,94,96,95,94,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
7,1F6035P-MICRO-0028570,1F6035P,1184407,50,,50.2,100.4,7.2,103,2.4,97,90,S1,93,101,99,99,99,90,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
8,1G6054P-MICRO-0032304,1G6054P,1184407,50,,49.3,98.6,3,98.5,1.3,96,92,S1,100,95,94,92,96,99,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
9,1H6051P-MICRO-0035784,1H6051P,1184407,50,,49.8,99.6,3.7,98.7,1.5,95,94,S1,95,94,94,95,96,95,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
10,1H6054P-MICRO-0035799,1H6054P,1184407,50,,50.1,100.2,2.9,99.9,1.2,94,88,S1,88,93,94,103,98,91,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
11,1H6055P-MICRO-0035804,1H6055P,1184407,50,,50.3,100.6,2.7,99.3,1.1,93,84,S2,84,99,89,94,99,93,93,94,93,91,98,95,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
12,1J6038P-MICRO-0040386,1J6038P,1184407,50,,49.9,99.8,2,100.1,0.8,97,95,S1,99,95,100,95,98,96,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
13,1K6024P-MICRO-0042486,1K6024P,1184407,50,,50.1,100.2,2.6,100.5,1.1,97,93,S1,96,99,96,93,98,102,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
14,1K6025P-MICRO-0042491,1K6025P,1184407,50,,48.8,97.6,3.4,98.3,1.3,92,90,S1,94,91,90,91,96,92,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
15,1K6026P-MICRO-0042496,1K6026P,1184407,50,,49.1,98.2,5.3,97.1,1.6,93,88,S1,92,93,94,88,98,93,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
