S.No.,LIMS Entry,Batch No.,Item Code,Strength (mg),Mfg Date,Assay,Assay,Content Uniformity,,,Dissolution,,,,,,,,,,,,,,,Micro Testing,,,,,Physical Defects,,,,
16,1L6036P-MICRO-0047323,1L6036P,1184407,50,,49.9,99.8,3.3,99.9,1.4,95,88,S1,88,98,97,92,96,97,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
17,1M6008P-MICRO-0048879,1M6008P,1184407,50,,48.9,97.8,3.6,98.4,1.4,96,92,S1,92,95,96,97,98,98,,,,,,,10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
18,1M6014P-MICRO-0048897,1M6014P,1184407,50,,49.1,98.2,4.2,99.4,1.8,94,92,S1,94,94,92,94,95,94,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
19,2A6001P-MICRO-0051007,2A6001P,1184407,50,,47.9,95.8,6.6,97.6,2.4,90,87,S1,87,92,92,96,88,87,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
20,2A6004P-MICRO-0051017,2A6004P,1184407,50,,49.2,98.4,5.1,100.8,2.1,93,90,S1,91,91,96,90,98,92,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
21,2B6049P-MICRO-0056390,2B6049P,1184407,50,,50.1,100.2,5.9,96.6,1.7,92,87,S1,94,96,87,94,92,91,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
22,2B6050P-MICRO-0056395,2B6050P,1184407,50,,49.8,99.6,5.5,97.9,2,92,88,S1,90,88,90,97,94,92,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
23,2C6053P-MICRO-0061211,2C6053P,1184407,50,,48.8,97.6,3.4,97.9,1.2,92,89,S1,89,92,93,91,94,91,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
24,2D6056P-MICRO-0063644,2D6056P,1184407,50,,49.8,99.6,4,99.3,1.7,93,90,S1,93,94,90,92,94,94,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
25,2D6057P-MICRO-0063649,2D6057P,1184407,50,,49.5,99,3.3,99.6,1.4,94,90,S1,94,95,95,95,94,90,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
26,2E6077P-MICRO-0068124,2E6077P,1184407,50,,49.7,99.4,4.5,99.7,1.9,94,91,S1,92,96,93,91,96,94,,,,,,,20,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
27,2E6089P-MICRO-0068171,2E6089P,1184407,50,,50.3,100.6,4,99.3,1.7,95,91,S1,92,98,96,97,91,94,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,1,0,1
28,2G6040P-MICRO-0073137,2G6040P,1184407,50,,49.8,99.6,2.8,98.2,1,92,89,S1,89,96,94,93,90,92,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
29,2G6035P-MICRO-0073175,2G6035P,1184407,50,,49.5,99,3.3,99.3,1.4,94,91,S1,91,92,95,94,96,97,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
30,2G6016P-MICRO-0073638,2G6016P,1184407,50,,48.9,97.8,2.7,99.1,1.1,90,86,S1,91,93,86,91,90,89,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,3,0,3
31,2G6039P-MICRO-0073654,2G6039P,1184407,50,,49.9,99.8,2.3,98.6,1,94,90,S1,90,93,95,96,93,99,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
32,2H6052P-MICRO-0077754,2H6052P,1184407,50,,49.5,99,3.7,99,1.5,91,89,S1,94,90,89,94,91,89,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
33,2H6053P-MICRO-0077760,2H6053P,1184407,50,,49.2,98.4,4.3,99,1.8,91,89,S1,92,91,89,92,91,92,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
34,2H6054P-MICRO-0077765,2H6054P,1184407,50,,49.9,99.8,2.4,99.1,1,94,93,S1,93,93,95,94,94,93,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
35,2H6055P-MICRO-0077770,2H6055P,1184407,50,,49.8,99.6,3.5,97.2,0.9,90,87,S1,91,87,93,93,92,87,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,1,1
36,2L6016P-MICRO-0089948,2L6016P,1184407,50,,49.4,98.8,2.4,98.9,1,96,94,S1,94,95,97,99,95,95,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
37,2L6024P-MICRO-0089983,2L6024P,1184407,50,,48.6,97.2,2.7,98.8,1.1,95,92,S1,95,96,92,96,96,96,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,1,1
38,2L6025P-MICRO-0089988,2L6025P,1184407,50,,49.7,99.4,3.4,100.7,1.4,96,94,S1,96,94,97,99,96,94,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
39,2L6042P-MICRO-0092324,2L6042P,1184407,50,,50.2,100.4,4.6,98.8,1.9,96,92,S1,92,97,98,98,95,97,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
40,2L6043P-MICRO-0092329,2L6043P,1184407,50,,51,102,2.9,100.8,1.2,97,92,S1,96,101,96,100,99,92,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
41,2L6044P-MICRO-0092334,2L6044P,1184407,50,,49.3,98.6,5.3,99.3,2.2,94,93,S1,94,94,94,93,98,93,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
42,2L6045P-MICRO-0092339,2L6045P,1184407,50,,50.2,100.4,4.1,100.3,1.7,93,85,S1,94,96,95,95,93,85,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
43,3B6014P-MICRO-0098839,3B6014P,1184407,50,,49.8,99.6,4.5,99.2,1.9,96,90,S1,97,97,96,95,90,99,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
44,3B6015P-MICRO-0098844,3B6015P,1184407,50,,50.1,100.2,5.8,100.3,2.4,95,91,S1,93,97,98,97,91,96,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
45,3C6041P-MICRO-0104569,3C6041P,1184407,50,,49.4,98.8,5.6,102.2,2,97,92,S1,92,98,95,101,101,97,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
46,3C6042P-MICRO-0104574,3C6042P,1184407,50,,49.5,99,6,101.3,2.5,96,93,S1,95,93,98,97,97,95,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
47,3C6043P-MICRO-0104582,3C6043P,1184407,50,,48.4,96.8,2.5,98.9,1,95,91,S1,91,97,94,94,97,97,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
48,3C6044P-MICRO-0104587,3C6044P,1184407,50,,50.3,100.6,3.3,102.5,1,98,97,S1,97,97,99,100,100,97,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,1,1
49,3E6015P-MICRO-0108637,3E6015P,1184407,50,,49.7,99.4,4.4,100.6,1.9,96,93,S1,95,93,99,96,95,98,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
50,3E6016P-MICRO-0108642,3E6016P,1184407,50,,49.7,99.4,3.3,99.8,1.4,93,90,S1,90,95,94,94,93,95,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,1,0,1
51,3F6002P-MICRO-0112113,3F6002P,1184407,50,,50,100,3.1,100.1,1.3,92,88,S1,92,88,91,94,91,97,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
52,3F6003P-MICRO-0112118,3F6003P,1184407,50,,51.3,102.6,4.5,100.7,1.9,93,90,S1,90,97,91,90,91,98,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,1,1
53,3G6010P-MICRO-0116008,3G6010P,1184407,50,,51.2,102.4,5.6,102.8,1.8,96,94,S1,97,96,99,94,97,95,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
54,3G6011P-MICRO-0116018,3G6011P,1184407,50,,50.1,100.2,3.7,101.1,1.6,96,93,S1,93,97,100,97,97,94,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,1,1
55,3H65367S-MICRO-0122451,3H65367S,1184407,50,,50.7,101.4,2.8,99.4,1.2,94,92,S1,92,95,94,93,96,94,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
56,3H65368S-MICRO-0122456,3H65368S,1184407,50,,49.8,99.6,2.7,99.3,1.1,93,91,S1,94,93,93,93,95,91,,,,,,,<10,10,ABSENT_1G,ABSENT_10G,<10,0,1,0,0,1
57,3H65369S-MICRO-0122461,3H65369S,1184407,50,,49.2,98.4,2.9,99.4,1.2,93,91,S1,93,92,91,93,96,94,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
58,3H65370S-MICRO-0122466,3H65370S,1184407,50,,49.4,98.8,4,100.4,1.7,91,90,S1,90,94,90,90,91,92,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
59,3J75318S-MICRO-0126081,3J75318S,1184407,50,,49.4,98.8,3.2,99.9,1.3,97,95,S1,95,98,95,97,96,98,,,,,,,<10,20,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
60,3J75319S-MICRO-0126086,3J75319S,1184407,50,,49,98,2.1,99.2,0.9,97,94,S1,97,95,99,94,100,96,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
61,3J75321S-MICRO-0126092,3J75321S,1184407,50,,49.9,99.8,2.7,100.5,1.1,98,96,S1,100,96,97,99,100,96,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,1,1
62,3K77038S-MICRO-0129842,3K77038S,1184407,50,,48.7,97.4,4.5,99.5,1.9,96,94,S1,94,95,96,99,97,96,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
63,3K77039S-MICRO-0129847,3K77039S,1184407,50,,49.4,98.8,3.4,99.7,1.4,97,97,S1,97,97,97,98,98,98,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,3,3
64,3L73691S-MICRO-0134037,3L73691S,1184407,50,,49.7,99.4,1.7,98.5,0.7,92,89,S1,95,96,89,92,94,89,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,1,0,1
65,3L73702S-MICRO-0134125,3L73702S,1184407,50,,49.2,98.4,2.7,98.9,1.1,96,94,S1,98,97,96,97,94,97,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
66,3L73704S-MICRO-0134130,3L73704S,1184407,50,,49.5,99,2,99.1,0.8,96,95,S1,96,95,97,95,98,95,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
67,3M55024S-MICRO-0138182,3M55024S,1184407,50,,49.6,99.2,4,99.7,1.7,96,93,S1,101,96,96,95,97,93,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
68,3M55025S-MICRO-0138187,3M55025S,1184407,50,,48.8,97.6,5.3,96.7,1.5,96,94,S1,96,94,94,98,95,98,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
69,3M55026S-MICRO-0138192,3M55026S,1184407,50,,48.3,96.6,8.8,96.1,2.7,95,93,S1,93,95,93,96,96,97,,,,,,,10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
70,3M54996S-MICRO-0138313,3M54996S,1184407,50,,48.7,97.4,3.9,98.1,1.5,96,94,S1,96,98,96,94,97,95,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
71,4C84990S-MICRO-0146687,4C84990S,1184407,50,,48.3,96.6,7.5,94.4,1.4,93,92,S1,95,92,93,93,93,92,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,1,0,0,1
72,4C85011S-MICRO-0146692,4C85011S,1184407,50,,49.1,98.2,4.7,97.3,1.5,98,94,S1,100,96,94,100,99,97,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
73,4C85012S-MICRO-0146697,4C85012S,1184407,50,,49.8,99.6,2.7,98.8,1.1,97,93,S1,98,96,93,97,97,101,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
74,4C85013S-MICRO-0146702,4C85013S,1184407,50,,49.8,99.6,3.5,98.5,1.4,96,95,S1,95,97,97,97,95,96,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
75,4C85014S-MICRO-0146707,4C85014S,1184407,50,,50,100,3.5,100.1,1.5,97,95,S1,95,97,96,101,97,96,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,1,0,1
76,4C89781S-MICRO-0150457,4C89781S,1184407,50,,49.2,98.4,2.6,99.5,1.1,94,90,S1,98,100,96,95,90,90,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,3,3
77,4C89767S-MICRO-0150462,4C89767S,1184407,50,,49.5,99,5.8,97.2,1.9,95,93,S1,93,94,94,95,97,94,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
78,4D79896S-MICRO-0152133,4D79896S,1184407,50,,49.3,98.6,1.6,99.1,0.6,97,96,S1,96,97,99,100,96,97,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,3,3
79,4E78031S-MICRO-0155416,4E78031S,1184407,50,,49.9,99.8,3.6,98.9,1.5,97,95,S1,96,98,96,95,96,102,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,1,1
80,4E78032S-MICRO-0155421,4E78032S,1184407,50,,49.3,98.6,3.3,97.9,1.1,98,93,S1,100,95,103,97,101,93,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,4,4
81,4E78035S-MICRO-0155438,4E78035S,1184407,50,,49.1,98.2,2.1,98.7,0.9,95,93,S1,95,94,96,93,99,94,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
82,4F78544S-MICRO-0159865,4F78544S,1184407,50,,51,102,3.2,101.5,1.3,97,96,S1,98,98,97,98,97,96,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,1,1
83,4F81663S-MICRO-0162580,4F81663S,1184407,50,,48.9,97.8,5,96.6,1.3,98,97,S1,97,99,99,97,100,97,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
84,4H69172S-MICRO-0168302,4H69172S,1184407,50,8/29/2014,48.7,97.4,5,98.4,2,96,94,S1,98,95,96,96,94,95,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
85,4H69173S-MICRO-0168307,4H69173S,1184407,50,,48.6,97.2,3.5,98.5,1.5,94,90,S1,97,97,92,90,95,93,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,1,1
86,4H69174S-MICRO-0168312,4H69174S,1184407,50,,49.7,99.4,2.3,98.5,0.9,95,93,S1,96,97,94,98,94,93,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
87,4J80224S-MICRO-0172760,4J80224S,1184407,50,,48.4,96.8,4.5,97.8,1.5,97,96,S1,98,97,97,97,97,96,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
88,4J80225S-MICRO-0172765,4J80225S,1184407,50,,49.8,99.6,3.7,99.7,1.5,93,87,S1,94,98,94,91,87,95,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,1,0,1
89,4J80226S-MICRO-0172770,4J80226S,1184407,50,,48.4,96.8,3.1,99.3,1.3,99,97,S1,97,99,98,100,100,99,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,4,4
90,4J80227S-MICRO-0172775,4J80227S,1184407,50,,49.9,99.8,3.9,97.8,1.3,97,95,S1,97,98,97,96,97,95,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,1,1,3,5
91,4J80190S-MICRO-0172795,4J80190S,1184407,50,,50,100,4.1,100.1,1.7,94,90,S1,92,94,91,90,98,100,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,2,2
92,4L76115S-MICRO-0180517,4L76115S,1184407,50,,49.8,99.6,2.8,99.8,1.1,95,92,S1,92,97,97,96,92,99,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
93,4L76116S-MICRO-0180522,4L76116S,1184407,50,,49.2,98.4,2.3,99.9,1,97,95,S1,96,99,96,100,96,95,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
94,4L76117S-MICRO-0180527,4L76117S,1184407,50,,49.8,99.6,2.4,100.3,1,97,95,S1,95,98,97,98,97,99,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,8,8
95,4M57672S-MICRO-0185304,4M57672S,1184407,50,,50.5,101,3.5,98.2,1.3,98,95,S1,95,96,101,101,98,99,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,6,6
96,4M57674S-MICRO-0185314,4M57674S,1184407,50,,49.7,99.4,3.2,97.8,1,92,87,S1,95,94,89,87,90,95,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,8,8
97,4M57675S-MICRO-0185319,4M57675S,1184407,50,,49.9,99.8,5,98.1,1.9,96,94,S1,95,95,98,96,96,94,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,6,6
98,4M57677S-MICRO-0185324,4M57677S,1184407,50,,50.1,100.2,2,98.6,0.8,94,86,S1,94,94,99,94,95,86,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,4M57671S-MICRO-0185299,4M57671S,1184407,50,,49.8,99.6,4.9,97.1,1.5,91,87,S1,90,93,87,93,92,93,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,7,7
100,4M57673S-MICRO-0185309,4M57673S,1184407,50,,49.6,99.2,3.3,97.7,1.1,89,86,S1,92,89,87,88,86,90,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,9,9
,5B82530S-MICRO-0194981,5B82530S,1184407,50,,49.3,98.6,3.9,98.8,1.6,93,91,S1,94,95,95,91,94,91,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
,5B82531S-MICRO-0194986,5B82531S,1184407,50,,50,100,3.6,100.7,1.5,98,95,S1,97,101,98,99,99,95,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,2,1,3
,5B82536S-MICRO-0195006,5B82536S,1184407,50,,48.6,97.2,3.5,99.7,1.5,96,93,S1,96,96,99,97,95,93,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
