x,cv,s
85.1,0.4441833137,0.378
85.2,0.4718309859,0.402
85.3,0.4994138335,0.426
85.4,0.5257611241,0.449
85.5,0.5532163743,0.473
85.6,0.5806074766,0.497
85.7,0.6067677946,0.52
85.8,0.634032634,0.544
85.9,0.661233993,0.568
86,0.6872093023,0.591
86.1,0.7142857143,0.615
86.2,0.7412993039,0.639
86.3,0.7682502897,0.663
86.4,0.7939814815,0.686
86.5,0.8208092486,0.71
86.6,0.8475750577,0.734
86.7,0.8731257209,0.757
86.8,0.8997695853,0.781
86.9,0.9263521289,0.805
87,0.9517241379,0.828
87.1,0.9781859931,0.852
87.2,1.004587156,0.876
87.3,1.0297823597,0.899
87.4,1.0560640732,0.923
87.5,1.0822857143,0.947
87.6,1.1073059361,0.97
87.7,1.1334093501,0.994
87.8,1.159453303,1.018
87.9,1.1843003413,1.041
88,1.2102272727,1.065
88.1,1.2360953462,1.089
88.2,1.2619047619,1.113
88.3,1.2865232163,1.136
88.4,1.3122171946,1.16
88.5,1.3378531073,1.184
88.6,1.3623024831,1.207
88.7,1.3878241263,1.231
88.8,1.4132882883,1.255
88.9,1.4375703037,1.278
89,1.4629213483,1.302
89.1,1.4882154882,1.326
89.2,1.5123318386,1.349
89.3,1.5375139978,1.373
89.4,1.562639821,1.397
89.5,1.5865921788,1.42
89.6,1.6116071429,1.444
89.7,1.6365663322,1.468
89.8,1.6603563474,1.491
89.9,1.6852057842,1.515
90,1.71,1.539
90.1,1.7347391787,1.563
90.2,1.7583148559,1.586
90.3,1.7829457364,1.61
90.4,1.8075221239,1.634
90.5,1.8309392265,1.657
90.6,1.8554083885,1.681
90.7,1.8798235943,1.705
90.8,1.9030837004,1.728
90.9,1.9273927393,1.752
91,1.9516483516,1.776
91.1,1.9747530187,1.799
91.2,1.9989035088,1.823
91.3,2.0230010953,1.847
91.4,2.04595186,1.87
91.5,2.0699453552,1.894
91.6,2.0938864629,1.918
91.7,2.1166848419,1.941
91.8,2.1405228758,1.965
91.9,2.1643090316,1.989
92,2.1869565217,2.012
92.1,2.210640608,2.036
92.2,2.2342733189,2.06
92.3,2.2567713976,2.083
92.4,2.2803030303,2.107
92.5,2.3037837838,2.131
92.6,2.3261339093,2.154
92.7,2.3495145631,2.178
92.8,2.3728448276,2.202
92.9,2.3950484392,2.225
93,2.4182795699,2.249
93.1,2.4414607948,2.273
93.2,2.4635193133,2.296
93.3,2.486602358,2.32
93.4,2.5096359743,2.344
93.5,2.5315508021,2.367
93.6,2.5544871795,2.391
93.7,2.5773745998,2.415
93.8,2.5991471215,2.438
93.9,2.6219382322,2.462
94,2.6446808511,2.486
94.1,2.6663124336,2.509
94.2,2.6889596603,2.533
94.3,2.7104984093,2.556
94.4,2.7330508475,2.58
94.5,2.7555555556,2.604
94.6,2.7769556025,2.627
94.7,2.7993664203,2.651
94.8,2.8217299578,2.675
94.9,2.8429926238,2.698
95,2.8652631579,2.722
95.1,2.8864353312,2.745
95.2,2.9086134454,2.769
95.3,2.9296956978,2.792
95.4,2.9517819706,2.816
95.5,2.9738219895,2.84
95.6,2.9947698745,2.863
95.7,3.0167189133,2.887
95.8,3.0375782881,2.91
95.9,3.0594369135,2.934
96,3.0802083333,2.957
96.1,3.1019771072,2.981
96.2,3.1226611227,3.004
96.3,3.1443406023,3.028
96.4,3.1649377593,3.051
96.5,3.1865284974,3.075
96.6,3.2080745342,3.099
96.7,3.2285418821,3.122
96.8,3.25,3.146
96.9,3.2703818369,3.169
97,3.2907216495,3.192
97.1,3.3120494336,3.216
97.2,3.3323045267,3.239
97.3,3.3535457348,3.263
97.4,3.3737166324,3.286
97.5,3.3948717949,3.31
97.6,3.4149590164,3.333
97.7,3.4360286592,3.357
97.8,3.4560327198,3.38
97.9,3.4759959142,3.403
98,3.4969387755,3.427
98.1,3.5168195719,3.45
98.2,3.5376782077,3.474
98.3,3.5574771109,3.497
98.4,3.5772357724,3.52
98.5,3.5979695431,3.544
98.6,3.6176470588,3.567
98.7,3.6382978723,3.591
98.8,3.6578947368,3.614
98.9,3.6774519717,3.637
99,3.697979798,3.661
99.1,3.717457114,3.684
99.2,3.7368951613,3.707
99.3,3.7562940584,3.73
99.4,3.7766599598,3.754
99.5,3.7959798995,3.777
99.6,3.8152610442,3.8
99.7,3.8345035105,3.823
99.8,3.8537074148,3.846
99.9,3.8728728729,3.869
100,3.892,3.892
100.1,3.8651348651,3.869
100.2,3.8383233533,3.846
100.3,3.8115653041,3.823
100.4,3.7848605578,3.8
100.5,3.7582089552,3.777
100.6,3.731610338,3.754
100.7,3.7040714995,3.73
100.8,3.6775793651,3.707
100.9,3.6511397423,3.684
101,3.6247524752,3.661
101.1,3.5974282888,3.637
101.2,3.5711462451,3.614
101.3,3.5449160908,3.591
101.4,3.5177514793,3.567
101.5,3.4916256158,3.544
101.6,3.4645669291,3.52
101.7,3.4385447394,3.497
101.8,3.4125736739,3.474
101.9,3.3856722277,3.45
102,3.3598039216,3.427
102.1,3.333006856,3.403
102.2,3.3072407045,3.38
102.3,3.2815249267,3.357
102.4,3.2548828125,3.333
102.5,3.2292682927,3.31
102.6,3.2027290448,3.286
102.7,3.1772151899,3.263
102.8,3.1507782101,3.239
102.9,3.1253644315,3.216
103,3.0990291262,3.192
103.1,3.07371484,3.169
103.2,3.0484496124,3.146
103.3,3.0222652469,3.122
103.4,2.997098646,3.099
103.5,2.9710144928,3.075
103.6,2.944980695,3.051
103.7,2.9199614272,3.028
103.8,2.894026975,3.004
103.9,2.8691049086,2.981
104,2.8432692308,2.957
104.1,2.818443804,2.934
104.2,2.792706334,2.91
104.3,2.7679769895,2.887
104.4,2.7423371648,2.863
104.5,2.7177033493,2.84
104.6,2.6921606119,2.816
104.7,2.6666666667,2.792
104.8,2.6421755725,2.769
104.9,2.6167778837,2.745
105,2.5923809524,2.722
105.1,2.5670789724,2.698
105.2,2.5427756654,2.675
105.3,2.5175688509,2.651
105.4,2.4924098672,2.627
105.5,2.4682464455,2.604
105.6,2.4431818182,2.58
105.7,2.4181646168,2.556
105.8,2.3941398866,2.533
105.9,2.3692162417,2.509
106,2.3452830189,2.486
106.1,2.3204524034,2.462
106.2,2.2956685499,2.438
106.3,2.2718720602,2.415
106.4,2.2471804511,2.391
106.5,2.2225352113,2.367
106.6,2.1988742964,2.344
106.7,2.1743205248,2.32
106.8,2.1498127341,2.296
106.9,2.1262862488,2.273
107,2.1018691589,2.249
107.1,2.0774976657,2.225
107.2,2.0541044776,2.202
107.3,2.0298229264,2.178
107.4,2.0055865922,2.154
107.5,1.9823255814,2.131
107.6,1.9581784387,2.107
107.7,1.9340761374,2.083
107.8,1.9109461967,2.06
107.9,1.8869323448,2.036
108,1.862962963,2.012
108.1,1.8399629972,1.989
108.2,1.8160813309,1.965
108.3,1.7922437673,1.941
108.4,1.7693726937,1.918
108.5,1.7456221198,1.894
108.6,1.7219152855,1.87
108.7,1.6991720331,1.847
108.8,1.6755514706,1.823
108.9,1.6519742883,1.799
109,1.6293577982,1.776
109.1,1.6058661778,1.752
109.2,1.5824175824,1.728
109.3,1.559926807,1.705
109.4,1.5365630713,1.681
109.5,1.5132420091,1.657
109.6,1.4908759124,1.634
109.7,1.4676390155,1.61
109.8,1.4444444444,1.586
109.9,1.4222020018,1.563
110,1.3990909091,1.539
110.1,1.3760217984,1.515
110.2,1.3529945554,1.491
110.3,1.3309156845,1.468
110.4,1.3079710145,1.444
110.5,1.2850678733,1.42
110.6,1.2631103074,1.397
110.7,1.2402890696,1.373
110.8,1.2175090253,1.349
110.9,1.1956717764,1.326
111,1.172972973,1.302
111.1,1.1503150315,1.278
111.2,1.1285971223,1.255
111.3,1.1060197664,1.231
111.4,1.0834829443,1.207
111.5,1.0618834081,1.184
111.6,1.0394265233,1.16
111.7,1.0170098478,1.136
111.8,0.9955277281,1.113
111.9,0.9731903485,1.089
112,0.9508928571,1.065
112.1,0.9286351472,1.041
112.2,0.9073083779,1.018
112.3,0.8851291184,0.994
112.4,0.8629893238,0.97
112.5,0.8417777778,0.947
112.6,0.8197158082,0.923
112.7,0.7976929902,0.899
112.8,0.7765957447,0.876
112.9,0.7546501329,0.852
113,0.7327433628,0.828
113.1,0.7117595049,0.805
113.2,0.6899293286,0.781
113.3,0.6681376876,0.757
113.4,0.6472663139,0.734
113.5,0.6255506608,0.71
113.6,0.6038732394,0.686
113.7,0.5831134565,0.663
113.8,0.5615114236,0.639
113.9,0.5399473222,0.615
