x,cv,s
85.1,0.5522914219,0.47
85.2,0.5868544601,0.5
85.3,0.6201641266,0.529
85.4,0.6545667447,0.559
85.5,0.6877192982,0.588
85.6,0.7219626168,0.618
85.7,0.7549591599,0.647
85.8,0.789044289,0.677
85.9,0.8218859139,0.706
86,0.8546511628,0.735
86.1,0.8885017422,0.765
86.2,0.9211136891,0.794
86.3,0.9548088065,0.824
86.4,0.9872685185,0.853
86.5,1.0208092486,0.883
86.6,1.0531177829,0.912
86.7,1.0865051903,0.942
86.8,1.1186635945,0.971
86.9,1.1518987342,1.001
87,1.183908046,1.03
87.1,1.2158438576,1.059
87.2,1.248853211,1.089
87.3,1.2806414662,1.118
87.4,1.3135011442,1.148
87.5,1.3451428571,1.177
87.6,1.3778538813,1.207
87.7,1.409350057,1.236
87.8,1.4419134396,1.266
87.9,1.4732650739,1.295
88,1.5056818182,1.325
88.1,1.5368898978,1.354
88.2,1.5680272109,1.383
88.3,1.6002265006,1.413
88.4,1.6312217195,1.442
88.5,1.6632768362,1.472
88.6,1.6941309255,1.501
88.7,1.726042841,1.531
88.8,1.7567567568,1.56
88.9,1.7885264342,1.59
89,1.8191011236,1.619
89.1,1.8496071829,1.648
89.2,1.8811659193,1.678
89.3,1.9115341545,1.707
89.4,1.9429530201,1.737
89.5,1.9731843575,1.766
89.6,2.0044642857,1.796
89.7,2.0345596433,1.825
89.8,2.065701559,1.855
89.9,2.0956618465,1.884
90,2.1255555556,1.913
90.1,2.1564927858,1.943
90.2,2.1862527716,1.972
90.3,2.2170542636,2.002
90.4,2.2466814159,2.031
90.5,2.2773480663,2.061
90.6,2.3068432671,2.09
90.7,2.3373759647,2.12
90.8,2.3667400881,2.149
90.9,2.396039604,2.178
91,2.4263736264,2.208
91.1,2.4555433589,2.237
91.2,2.485745614,2.267
91.3,2.5147864184,2.296
91.4,2.5448577681,2.326
91.5,2.5737704918,2.355
91.6,2.6037117904,2.385
91.7,2.6324972737,2.414
91.8,2.6612200436,2.443
91.9,2.690968444,2.473
92,2.7195652174,2.502
92.1,2.7491856678,2.532
92.2,2.7776572668,2.561
92.3,2.8071505959,2.591
92.4,2.8354978355,2.62
92.5,2.8637837838,2.649
92.6,2.8930885529,2.679
92.7,2.9212513484,2.708
92.8,2.9504310345,2.738
92.9,2.9784714747,2.767
93,3.0075268817,2.797
93.1,3.0354457573,2.826
93.2,3.063304721,2.855
93.3,3.0921757771,2.885
93.4,3.1199143469,2.914
93.5,3.1486631016,2.944
93.6,3.1762820513,2.973
93.7,3.2038420491,3.002
93.8,3.2324093817,3.032
93.9,3.2598509052,3.061
94,3.2882978723,3.091
94.1,3.3156216791,3.12
94.2,3.3428874735,3.149
94.3,3.3711558855,3.179
94.4,3.3983050847,3.208
94.5,3.4253968254,3.237
94.6,3.4534883721,3.267
94.7,3.4804646251,3.296
94.8,3.5073839662,3.325
94.9,3.5353003161,3.355
95,3.5621052632,3.384
95.1,3.5888538381,3.413
95.2,3.6165966387,3.443
95.3,3.6432318993,3.472
95.4,3.6698113208,3.501
95.5,3.6963350785,3.53
95.6,3.7238493724,3.56
95.7,3.750261233,3.589
95.8,3.7766179541,3.618
95.9,3.8039624609,3.648
96,3.8302083333,3.677
96.1,3.8563995838,3.706
96.2,3.8825363825,3.735
96.3,3.9086188993,3.764
96.4,3.9356846473,3.794
96.5,3.9616580311,3.823
96.6,3.9875776398,3.852
96.7,4.0134436401,3.881
96.8,4.0392561983,3.91
96.9,4.0660474716,3.94
97,4.0917525773,3.969
97.1,4.1174047374,3.998
97.2,4.1430041152,4.027
97.3,4.1685508736,4.056
97.4,4.1940451745,4.085
97.5,4.2194871795,4.114
97.6,4.2448770492,4.143
97.7,4.2702149437,4.172
97.8,4.2965235174,4.202
97.9,4.3217568948,4.231
98,4.3469387755,4.26
98.1,4.372069317,4.289
98.2,4.3971486762,4.318
98.3,4.4221770092,4.347
98.4,4.4471544715,4.376
98.5,4.4720812183,4.405
98.6,4.4969574037,4.434
98.7,4.5207700101,4.462
98.8,4.5455465587,4.491
98.9,4.570273003,4.52
99,4.5949494949,4.549
99.1,4.6185671039,4.577
99.2,4.6431451613,4.606
99.3,4.6666666667,4.634
99.4,4.6901408451,4.662
99.5,4.7135678392,4.69
99.6,4.7369477912,4.718
99.7,4.7592778335,4.745
99.8,4.7815631263,4.772
99.9,4.8038038038,4.799
100,4.825,4.825
100.1,4.7942057942,4.799
100.2,4.7624750499,4.772
100.3,4.7308075773,4.745
100.4,4.6992031873,4.718
100.5,4.6666666667,4.69
100.6,4.634194831,4.662
100.7,4.6017874876,4.634
100.8,4.5694444444,4.606
100.9,4.5361744301,4.577
101,4.503960396,4.549
101.1,4.4708209693,4.52
101.2,4.4377470356,4.491
101.3,4.4047384008,4.462
101.4,4.3727810651,4.434
101.5,4.3399014778,4.405
101.6,4.3070866142,4.376
101.7,4.2743362832,4.347
101.8,4.2416502947,4.318
101.9,4.2090284593,4.289
102,4.1764705882,4.26
102.1,4.1439764936,4.231
102.2,4.1115459883,4.202
102.3,4.0782013685,4.172
102.4,4.0458984375,4.143
102.5,4.0136585366,4.114
102.6,3.9814814815,4.085
102.7,3.9493670886,4.056
102.8,3.9173151751,4.027
102.9,3.8853255588,3.998
103,3.8533980583,3.969
103.1,3.8215324927,3.94
103.2,3.7887596899,3.91
103.3,3.757018393,3.881
103.4,3.7253384913,3.852
103.5,3.6937198068,3.823
103.6,3.6621621622,3.794
103.7,3.6297010608,3.764
103.8,3.598265896,3.735
103.9,3.5668912416,3.706
104,3.5355769231,3.677
104.1,3.5043227666,3.648
104.2,3.4721689059,3.618
104.3,3.4410354746,3.589
104.4,3.4099616858,3.56
104.5,3.3779904306,3.53
104.6,3.3470363289,3.501
104.7,3.3161413563,3.472
104.8,3.2853053435,3.443
104.9,3.2535748332,3.413
105,3.2228571429,3.384
105.1,3.1921979068,3.355
105.2,3.1606463878,3.325
105.3,3.1301044634,3.296
105.4,3.0996204934,3.267
105.5,3.0682464455,3.237
105.6,3.0378787879,3.208
105.7,3.0075685903,3.179
105.8,2.9763705104,3.149
105.9,2.9461756374,3.12
106,2.9160377358,3.091
106.1,2.8850141376,3.061
106.2,2.8549905838,3.032
106.3,2.8240827846,3.002
106.4,2.7941729323,2.973
106.5,2.7643192488,2.944
106.6,2.7335834897,2.914
106.7,2.7038425492,2.885
106.8,2.6732209738,2.855
106.9,2.6435921422,2.826
107,2.6140186916,2.797
107.1,2.58356676,2.767
107.2,2.5541044776,2.738
107.3,2.5237651445,2.708
107.4,2.4944134078,2.679
107.5,2.4641860465,2.649
107.6,2.4349442379,2.62
107.7,2.4057567317,2.591
107.8,2.3756957328,2.561
107.9,2.3466172382,2.532
108,2.3166666667,2.502
108.1,2.2876965772,2.473
108.2,2.2578558226,2.443
108.3,2.2289935365,2.414
108.4,2.2001845018,2.385
108.5,2.1705069124,2.355
108.6,2.1418047882,2.326
108.7,2.1122355106,2.296
108.8,2.0836397059,2.267
108.9,2.0541781451,2.237
109,2.0256880734,2.208
109.1,1.9963336389,2.178
109.2,1.9679487179,2.149
109.3,1.9396157365,2.12
109.4,1.9104204753,2.09
109.5,1.8821917808,2.061
109.6,1.8531021898,2.031
109.7,1.8249772106,2.002
109.8,1.795992714,1.972
109.9,1.7679708826,1.943
110,1.7390909091,1.913
110.1,1.7111716621,1.884
110.2,1.6833030853,1.855
110.3,1.6545784225,1.825
110.4,1.6268115942,1.796
110.5,1.5981900452,1.766
110.6,1.5705244123,1.737
110.7,1.5420054201,1.707
110.8,1.5144404332,1.678
110.9,1.4860234445,1.648
111,1.4585585586,1.619
111.1,1.4311431143,1.59
111.2,1.4028776978,1.56
111.3,1.3755615454,1.531
111.4,1.3473967684,1.501
111.5,1.3201793722,1.472
111.6,1.2921146953,1.442
111.7,1.2649955237,1.413
111.8,1.2370304114,1.383
111.9,1.2100089366,1.354
112,1.1830357143,1.325
112.1,1.1552185549,1.295
112.2,1.128342246,1.266
112.3,1.1006233304,1.236
112.4,1.0738434164,1.207
112.5,1.0462222222,1.177
112.6,1.0195381883,1.148
112.7,0.992014197,1.118
112.8,0.9654255319,1.089
112.9,0.9379982285,1.059
113,0.9115044248,1.03
113.1,0.8850574713,1.001
113.2,0.8577738516,0.971
113.3,0.8314210062,0.942
113.4,0.8042328042,0.912
113.5,0.7779735683,0.883
113.6,0.7508802817,0.853
113.7,0.7247141601,0.824
113.8,0.69771529,0.794
113.9,0.671641791,0.765
114,0.6447368421,0.735
114.1,0.6187554777,0.706
114.2,0.5928196147,0.677
114.3,0.5660542432,0.647
114.4,0.5402097902,0.618
114.5,0.5135371179,0.588
114.6,0.4877835951,0.559
114.7,0.4612031386,0.529
114.8,0.4355400697,0.5
114.9,0.409051349,0.47
