x,cv,s
85.1,0,0.311
85.2,0,0.331
85.3,0,0.35
85.4,0,0.37
85.5,0,0.389
85.6,0,0.409
85.7,0,0.428
85.8,0,0.448
85.9,0,0.467
86,0,0.487
86.1,0,0.506
86.2,0,0.526
86.3,0,0.545
86.4,0,0.565
86.5,0,0.584
86.6,0,0.604
86.7,0,0.623
86.8,0,0.643
86.9,0,0.662
87,0,0.682
87.1,0,0.701
87.2,0,0.721
87.3,0,0.74
87.4,0,0.76
87.5,0,0.779
87.6,0,0.799
87.7,0,0.818
87.8,0,0.838
87.9,0,0.857
88,0,0.877
88.1,0,0.896
88.2,0,0.916
88.3,0,0.935
88.4,0,0.955
88.5,0,0.974
88.6,0,0.994
88.7,0,1.013
88.8,0,1.033
88.9,0,1.052
89,0,1.072
89.1,0,1.091
89.2,0,1.111
89.3,0,1.13
89.4,0,1.15
89.5,0,1.169
89.6,0,1.189
89.7,0,1.208
89.8,0,1.228
89.9,0,1.247
90,0,1.267
90.1,0,1.286
90.2,0,1.306
90.3,0,1.325
90.4,0,1.345
90.5,0,1.364
90.6,0,1.384
90.7,0,1.403
90.8,0,1.423
90.9,0,1.442
91,0,1.462
91.1,0,1.481
91.2,0,1.501
91.3,0,1.52
91.4,0,1.54
91.5,0,1.559
91.6,0,1.579
91.7,0,1.598
91.8,0,1.618
91.9,0,1.637
92,0,1.657
92.1,0,1.676
92.2,0,1.696
92.3,0,1.715
92.4,0,1.735
92.5,0,1.754
92.6,0,1.774
92.7,0,1.793
92.8,0,1.813
92.9,0,1.832
93,0,1.852
93.1,0,1.871
93.2,0,1.891
93.3,0,1.91
93.4,0,1.929
93.5,0,1.949
93.6,0,1.968
93.7,0,1.988
93.8,0,2.007
93.9,0,2.027
94,0,2.046
94.1,0,2.066
94.2,0,2.085
94.3,0,2.105
94.4,0,2.124
94.5,0,2.144
94.6,0,2.163
94.7,0,2.183
94.8,0,2.202
94.9,0,2.222
95,0,2.241
95.1,0,2.26
95.2,0,2.28
95.3,0,2.299
95.4,0,2.319
95.5,0,2.338
95.6,0,2.358
95.7,0,2.377
95.8,0,2.397
95.9,0,2.416
96,0,2.435
96.1,0,2.455
96.2,0,2.474
96.3,0,2.494
96.4,0,2.513
96.5,0,2.532
96.6,0,2.552
96.7,0,2.571
96.8,0,2.591
96.9,0,2.61
97,0,2.629
97.1,0,2.649
97.2,0,2.668
97.3,0,2.688
97.4,0,2.707
97.5,0,2.726
97.6,0,2.746
97.7,0,2.765
97.8,0,2.784
97.9,0,2.804
98,0,2.823
98.1,0,2.842
98.2,0,2.862
98.3,0,2.881
98.4,0,2.9
98.5,0,2.92
98.6,0,2.939
98.7,0,2.958
98.8,0,2.977
98.9,0,2.997
99,0,3.016
99.1,0,3.035
99.2,0,3.055
99.3,0,3.074
99.4,0,3.093
99.5,0,3.112
99.6,0,3.132
99.7,0,3.151
99.8,0,3.17
99.9,0,3.189
100,0,3.208
100.1,0,3.189
100.2,0,3.17
100.3,0,3.151
100.4,0,3.132
100.5,0,3.112
100.6,0,3.093
100.7,0,3.074
100.8,0,3.055
100.9,0,3.035
101,0,3.016
101.1,0,2.997
101.2,0,2.977
101.3,0,2.958
101.4,0,2.939
101.5,0,2.92
101.6,0,2.9
101.7,0,2.881
101.8,0,2.862
101.9,0,2.842
102,0,2.823
102.1,0,2.804
102.2,0,2.784
102.3,0,2.765
102.4,0,2.746
102.5,0,2.726
102.6,0,2.707
102.7,0,2.688
102.8,0,2.668
102.9,0,2.649
103,0,2.629
103.1,0,2.61
103.2,0,2.591
103.3,0,2.571
103.4,0,2.552
103.5,0,2.532
103.6,0,2.513
103.7,0,2.494
103.8,0,2.474
103.9,0,2.455
104,0,2.435
104.1,0,2.416
104.2,0,2.397
104.3,0,2.377
104.4,0,2.358
104.5,0,2.338
104.6,0,2.319
104.7,0,2.299
104.8,0,2.28
104.9,0,2.26
105,0,2.241
105.1,0,2.222
105.2,0,2.202
105.3,0,2.183
105.4,0,2.163
105.5,0,2.144
105.6,0,2.124
105.7,0,2.105
105.8,0,2.085
105.9,0,2.066
106,0,2.046
106.1,0,2.027
106.2,0,2.006999999
106.3,0,1.988
106.4,0,1.968
106.5,0,1.949
106.6,0,1.929
106.7,0,1.909999999
106.8,0,1.891
106.9,0,1.871
107,0,1.851999999
107.1,0,1.832
107.2,0,1.813
107.3,0,1.793
107.4,0,1.774000001
107.5,0,1.754
107.6,0,1.735
107.7,0,1.715
107.8,0,1.696
107.9,0,1.676
108,0,1.657
108.1,0,1.637
108.2,0,1.618
108.3,0,1.598
108.4,0,1.579
108.5,0,1.559
108.6,0,1.54
108.7,0,1.52
108.8,0,1.501
108.9,0,1.481
109,0,1.462
109.1,0,1.442
109.2,0,1.423
109.3,0,1.403
109.4,0,1.384
109.5,0,1.364
109.6,0,1.345
109.7,0,1.325
109.8,0,1.306
109.9,0,1.286
110,0,1.267
110.1,0,1.247
110.2,0,1.228
110.3,0,1.208
110.4,0,1.189
110.5,0,1.169
110.6,0,1.15
110.7,0,1.13
110.8,0,1.111
110.9,0,1.091
111,0,1.072
111.1,0,1.051999999
111.2,0,1.033000001
111.3,0,1.013
111.4,0,0.994
111.5,0,0.974
111.6,0,0.955
111.7,0,0.935
111.8,0,0.916
111.9,0,0.896
112,0,0.877
112.1,0,0.857
112.2,0,0.838
112.3,0,0.818
112.4,0,0.799000001
112.5,0,0.779
112.6,0,0.76
112.7,0,0.74
112.8,0,0.721
112.9,0,0.701
113,0,0.682
113.1,0,0.662
113.2,0,0.643
113.3,0,0.623
113.4,0,0.604
113.5,0,0.584
113.6,0,0.565
113.7,0,0.545
113.8,0,0.526
113.9,0,0.506000001
114,0,0.486999999
114.1,0,0.467
114.2,0,0.448
114.3,0,0.428
114.4,0,0.409000001
114.5,0,0.389
114.6,0,0.37
114.7,0,0.350000001
114.8,0,0.331
114.9,0,0.311
