x,cv,s
85.1,0.3313748531,0.282
85.2,0.3521126761,0.3
85.3,0.3728018757,0.318
85.4,0.393442623,0.336
85.5,0.4128654971,0.353
85.6,0.433411215,0.371
85.7,0.4539089848,0.389
85.8,0.4731934732,0.406
85.9,0.4935972061,0.424
86,0.5139534884,0.442
86.1,0.5331010453,0.459
86.2,0.5533642691,0.477
86.3,0.573580533,0.495
86.4,0.59375,0.513
86.5,0.612716763,0.53
86.6,0.6327944573,0.548
86.7,0.6528258362,0.566
86.8,0.6716589862,0.583
86.9,0.6915995397,0.601
87,0.7114942529,0.619
87.1,0.730195178,0.636
87.2,0.75,0.654
87.3,0.7697594502,0.672
87.4,0.7894736842,0.69
87.5,0.808,0.707
87.6,0.8276255708,0.725
87.7,0.8472063854,0.743
87.8,0.8656036446,0.76
87.9,0.8850967008,0.778
88,0.9045454545,0.796
88.1,0.922814983,0.813
88.2,0.9421768707,0.831
88.3,0.9614949037,0.849
88.4,0.979638009,0.866
88.5,0.9988700565,0.884
88.6,1.0180586907,0.902
88.7,1.0372040586,0.92
88.8,1.0551801802,0.937
88.9,1.0742407199,0.955
89,1.093258427,0.973
89.1,1.1111111111,0.99
89.2,1.130044843,1.008
89.3,1.1489361702,1.026
89.4,1.1666666667,1.043
89.5,1.1854748603,1.061
89.6,1.2042410714,1.079
89.7,1.2229654404,1.097
89.8,1.2405345212,1.114
89.9,1.2591768632,1.132
90,1.2777777778,1.15
90.1,1.295227525,1.167
90.2,1.3137472284,1.185
90.3,1.3322259136,1.203
90.4,1.3495575221,1.22
90.5,1.3679558011,1.238
90.6,1.3863134658,1.256
90.7,1.4035281147,1.273
90.8,1.4218061674,1.291
90.9,1.4400440044,1.309
91,1.4582417582,1.327
91.1,1.4753018661,1.344
91.2,1.4934210526,1.362
91.3,1.5115005476,1.38
91.4,1.5284463895,1.397
91.5,1.5464480874,1.415
91.6,1.5644104803,1.433
91.7,1.5812431843,1.45
91.8,1.5991285403,1.468
91.9,1.6169749728,1.486
92,1.6336956522,1.503
92.1,1.651465798,1.521
92.2,1.669197397,1.539
92.3,1.6868905742,1.557
92.4,1.7034632035,1.574
92.5,1.7210810811,1.592
92.6,1.7386609071,1.61
92.7,1.7551240561,1.627
92.8,1.7726293103,1.645
92.9,1.7900968784,1.663
93,1.8064516129,1.68
93.1,1.8238453276,1.698
93.2,1.8412017167,1.716
93.3,1.857449089,1.733
93.4,1.874732334,1.751
93.5,1.8919786096,1.769
93.6,1.9081196581,1.786
93.7,1.9252934899,1.804
93.8,1.9424307036,1.822
93.9,1.9595314164,1.84
94,1.9755319149,1.857
94.1,1.9925611052,1.875
94.2,2.0095541401,1.893
94.3,2.0254506893,1.91
94.4,2.0423728814,1.928
94.5,2.0592592593,1.946
94.6,2.0750528541,1.963
94.7,2.0918690602,1.981
94.8,2.108649789,1.999
94.9,2.124341412,2.016
95,2.1410526316,2.034
95.1,2.1566771819,2.051
95.2,2.1733193277,2.069
95.3,2.1899265477,2.087
95.4,2.2054507338,2.104
95.5,2.2219895288,2.122
95.6,2.2384937238,2.14
95.7,2.2539184953,2.157
95.8,2.2703549061,2.175
95.9,2.2867570386,2.193
96,2.3020833333,2.21
96.1,2.3184183143,2.228
96.2,2.3336798337,2.245
96.3,2.3499480789,2.263
96.4,2.3661825726,2.281
96.5,2.3813471503,2.298
96.6,2.397515528,2.316
96.7,2.4136504654,2.334
96.8,2.4287190083,2.351
96.9,2.4447884417,2.369
97,2.4597938144,2.386
97.1,2.4757981462,2.404
97.2,2.4917695473,2.422
97.3,2.50668037,2.439
97.4,2.522587269,2.457
97.5,2.5374358974,2.474
97.6,2.5532786885,2.492
97.7,2.5680655067,2.509
97.8,2.5838445808,2.527
97.9,2.5985699694,2.544
98,2.6142857143,2.562
98.1,2.629969419,2.58
98.2,2.6446028513,2.597
98.3,2.6602238047,2.615
98.4,2.674796748,2.632
98.5,2.6903553299,2.65
98.6,2.7048681542,2.667
98.7,2.7203647416,2.685
98.8,2.7348178138,2.702
98.9,2.7502527806,2.72
99,2.7646464646,2.737
99.1,2.7800201816,2.755
99.2,2.7943548387,2.772
99.3,2.8096676737,2.79
99.4,2.823943662,2.807
99.5,2.8391959799,2.825
99.6,2.8534136546,2.842
99.7,2.8686058175,2.86
99.8,2.8827655311,2.877
99.9,2.8978978979,2.895
100,2.912,2.912
100.1,2.8921078921,2.895
100.2,2.871257485,2.877
100.3,2.851445663,2.86
100.4,2.8306772908,2.842
100.5,2.8109452736,2.825
100.6,2.7902584493,2.807
100.7,2.7706057597,2.79
100.8,2.75,2.772
100.9,2.7304261645,2.755
101,2.7099009901,2.737
101.1,2.6904055391,2.72
101.2,2.6699604743,2.702
101.3,2.6505429418,2.685
101.4,2.6301775148,2.667
101.5,2.6108374384,2.65
101.6,2.5905511811,2.632
101.7,2.5712881023,2.615
101.8,2.5510805501,2.597
101.9,2.5318940137,2.58
102,2.5117647059,2.562
102.1,2.4916748286,2.544
102.2,2.4726027397,2.527
102.3,2.4525904203,2.509
102.4,2.43359375,2.492
102.5,2.4136585366,2.474
102.6,2.3947368421,2.457
102.7,2.3748782863,2.439
102.8,2.3560311284,2.422
102.9,2.3362487852,2.404
103,2.3165048544,2.386
103.1,2.2977691562,2.369
103.2,2.2781007752,2.351
103.3,2.2594385286,2.334
103.4,2.2398452611,2.316
103.5,2.2202898551,2.298
103.6,2.2017374517,2.281
103.7,2.1822565092,2.263
103.8,2.1628131021,2.245
103.9,2.1443695861,2.228
104,2.125,2.21
104.1,2.1066282421,2.193
104.2,2.0873320537,2.175
104.3,2.0680728667,2.157
104.4,2.0498084291,2.14
104.5,2.0306220096,2.122
104.6,2.0114722753,2.104
104.7,1.9933142311,2.087
104.8,1.9742366412,2.069
104.9,1.9551954242,2.051
105,1.9371428571,2.034
105.1,1.9181731684,2.016
105.2,1.9001901141,1.999
105.3,1.881291548,1.981
105.4,1.8624288425,1.963
105.5,1.844549763,1.946
105.6,1.8257575758,1.928
105.7,1.8070009461,1.91
105.8,1.7892249527,1.893
105.9,1.7705382436,1.875
106,1.7518867925,1.857
106.1,1.7342130066,1.84
106.2,1.7156308851,1.822
106.3,1.6970837253,1.804
106.4,1.6785714286,1.786
106.5,1.6610328638,1.769
106.6,1.6425891182,1.751
106.7,1.6241799438,1.733
106.8,1.606741573,1.716
106.9,1.5884003742,1.698
107,1.5700934579,1.68
107.1,1.5527544351,1.663
107.2,1.5345149254,1.645
107.3,1.5163094129,1.627
107.4,1.4990689013,1.61
107.5,1.4809302326,1.592
107.6,1.4628252788,1.574
107.7,1.4456824513,1.557
107.8,1.4276437848,1.539
107.9,1.4096385542,1.521
108,1.3916666667,1.503
108.1,1.374653099,1.486
108.2,1.3567467652,1.468
108.3,1.3388734995,1.45
108.4,1.3219557196,1.433
108.5,1.3041474654,1.415
108.6,1.2863720074,1.397
108.7,1.269549218,1.38
108.8,1.2518382353,1.362
108.9,1.2341597796,1.344
109,1.2174311927,1.327
109.1,1.1998166819,1.309
109.2,1.1822344322,1.291
109.3,1.164684355,1.273
109.4,1.1480804388,1.256
109.5,1.1305936073,1.238
109.6,1.1131386861,1.22
109.7,1.096627165,1.203
109.8,1.0792349727,1.185
109.9,1.0618744313,1.167
110,1.0454545455,1.15
