x,cv,s
110.1,1.0281562216,1.132
110.2,1.0108892922,1.114
110.3,0.9945602901,1.097
110.4,0.9773550725,1.079
110.5,0.9601809955,1.061
110.6,0.9430379747,1.043
110.7,0.9268292683,1.026
110.8,0.9097472924,1.008
110.9,0.8926961226,0.99
111,0.8765765766,0.973
111.1,0.8595859586,0.955
111.2,0.8426258993,0.937
111.3,0.8265947889,0.92
111.4,0.8096947935,0.902
111.5,0.7928251121,0.884
111.6,0.7759856631,0.866
111.7,0.7600716204,0.849
111.8,0.7432915921,0.831
111.9,0.726541555,0.813
112,0.7107142857,0.796
112.1,0.6940231936,0.778
112.2,0.6773618538,0.76
112.3,0.6616206589,0.743
112.4,0.6450177936,0.725
112.5,0.6284444444,0.707
112.6,0.6127886323,0.69
112.7,0.5962732919,0.672
112.8,0.579787234,0.654
112.9,0.5633303809,0.636
113,0.5477876106,0.619
113.1,0.5313881521,0.601
113.2,0.5150176678,0.583
113.3,0.4995586937,0.566
113.4,0.4832451499,0.548
113.5,0.4669603524,0.53
113.6,0.451584507,0.513
113.7,0.4353562005,0.495
113.8,0.4191564148,0.477
113.9,0.4029850746,0.459
114,0.3877192982,0.442
114.1,0.3716038563,0.424
114.2,0.3555166375,0.406
114.3,0.3403324584,0.389
114.4,0.3243006993,0.371
114.5,0.3082969432,0.353
114.6,0.2931937173,0.336
114.7,0.2772449869,0.318
114.8,0.2613240418,0.3
114.9,0.2454308094,0.282
