x,cv,s
106.8,3.079588015,3.289
106.9,3.0449017774,3.255
107,3.0102803738,3.221
107.1,2.9766573296,3.188
107.2,2.9421641791,3.154
107.3,2.9077353215,3.12
107.4,2.8733705773,3.086
107.5,2.8390697674,3.052
107.6,2.8048327138,3.018
107.7,2.7706592386,2.984
107.8,2.7365491651,2.95
107.9,2.703429101,2.917
108,2.6694444444,2.883
108.1,2.6355226642,2.849
108.2,2.601663586,2.815
108.3,2.567867036,2.781
108.4,2.5341328413,2.747
108.5,2.5004608295,2.713
108.6,2.4668508287,2.679
108.7,2.4333026679,2.645
108.8,2.3998161765,2.611
108.9,2.3663911846,2.577
109,2.3339449541,2.544
109.1,2.3006416132,2.51
109.2,2.2673992674,2.476
109.3,2.2342177493,2.442
109.4,2.2010968921,2.408
109.5,2.1680365297,2.374
109.6,2.1350364964,2.34
109.7,2.1020966272,2.306
109.8,2.0692167577,2.272
109.9,2.0363967243,2.238
110,2.0036363636,2.204
110.1,1.9709355132,2.17
110.2,1.9392014519,2.137
110.3,1.9066183137,2.103
110.4,1.8740942029,2.069
110.5,1.8416289593,2.035
110.6,1.8092224231,2.001
110.7,1.7768744354,1.967
110.8,1.7445848375,1.933
110.9,1.7123534716,1.899
111,1.6801801802,1.865
111.1,1.6480648065,1.831
111.2,1.6160071942,1.797
111.3,1.5840071878,1.763
111.4,1.552064632,1.729
111.5,1.5210762332,1.696
111.6,1.4892473118,1.662
111.7,1.4574753805,1.628
111.8,1.4257602862,1.594
111.9,1.3941018767,1.56
112,1.3625,1.526
112.1,1.3309545049,1.492
112.2,1.2994652406,1.458
112.3,1.268032057,1.424
112.4,1.2366548043,1.39
112.5,1.2053333333,1.356
112.6,1.1740674956,1.322
112.7,1.1428571429,1.288
112.8,1.1117021277,1.254
112.9,1.0814880425,1.221
113,1.0504424779,1.187
113.1,1.0194518126,1.153
113.2,0.9885159011,1.119
113.3,0.9576345984,1.085
113.4,0.9268077601,1.051
113.5,0.8960352423,1.017
113.6,0.8653169014,0.983
113.7,0.8346525945,0.949
113.8,0.8040421793,0.915
113.9,0.7734855136,0.881
114,0.7429824561,0.847
114.1,0.7125328659,0.813
114.2,0.6821366025,0.779
114.3,0.6526684164,0.746
114.4,0.6223776224,0.712
114.5,0.592139738,0.678
114.6,0.5619546248,0.644
114.7,0.5318221447,0.61
114.8,0.5017421603,0.576
114.9,0.4717145344,0.542
