x,cv,s
85.1,0.4982373678,0.424
85.2,0.529342723,0.451
85.3,0.5603751465,0.478
85.4,0.5901639344,0.504
85.5,0.6210526316,0.531
85.6,0.6507009346,0.557
85.7,0.6814469078,0.584
85.8,0.710955711,0.61
85.9,0.7415599534,0.637
86,0.7720930233,0.664
86.1,0.8013937282,0.69
86.2,0.8317865429,0.717
86.3,0.8609501738,0.743
86.4,0.8912037037,0.77
86.5,0.9202312139,0.796
86.6,0.9503464203,0.823
86.7,0.9803921569,0.85
86.8,1.0092165899,0.876
86.9,1.0391254315,0.903
87,1.067816092,0.929
87.1,1.0975889782,0.956
87.2,1.126146789,0.982
87.3,1.1557846506,1.009
87.4,1.1853546911,1.036
87.5,1.2137142857,1.062
87.6,1.2431506849,1.089
87.7,1.2713797035,1.115
87.8,1.3006833713,1.142
87.9,1.3287827076,1.168
88,1.3579545455,1.195
88.1,1.3859250851,1.221
88.2,1.4149659864,1.248
88.3,1.4439411099,1.275
88.4,1.471719457,1.301
88.5,1.5005649718,1.328
88.6,1.5282167043,1.354
88.7,1.5569334837,1.381
88.8,1.5844594595,1.407
88.9,1.613048369,1.434
89,1.6415730337,1.461
89.1,1.6689113356,1.487
89.2,1.697309417,1.514
89.3,1.7245240761,1.54
89.4,1.7527964206,1.567
89.5,1.7798882682,1.593
89.6,1.8080357143,1.62
89.7,1.8361204013,1.647
89.8,1.8630289532,1.673
89.9,1.8909899889,1.7
90,1.9177777778,1.726
90.1,1.9456159822,1.753
90.2,1.9722838137,1.779
90.3,2,1.806
90.4,2.0276548673,1.833
90.5,2.0541436464,1.859
90.6,2.0816777042,1.886
90.7,2.1080485116,1.912
90.8,2.1354625551,1.939
90.9,2.1617161716,1.965
91,2.189010989,1.992
91.1,2.2151481888,2.018
91.2,2.2423245614,2.045
91.3,2.269441402,2.072
91.4,2.295404814,2.098
91.5,2.3224043716,2.125
91.6,2.3482532751,2.151
91.7,2.3751363141,2.178
91.8,2.4008714597,2.204
91.9,2.4276387378,2.231
92,2.4543478261,2.258
92.1,2.4799131379,2.284
92.2,2.5065075922,2.311
92.3,2.5319609967,2.337
92.4,2.5584415584,2.364
92.5,2.5837837838,2.39
92.6,2.6101511879,2.417
92.7,2.6353829558,2.443
92.8,2.661637931,2.47
92.9,2.6867599569,2.496
93,2.7129032258,2.523
93.1,2.7379162191,2.549
93.2,2.7639484979,2.576
93.3,2.7899249732,2.603
93.4,2.8147751606,2.629
93.5,2.8406417112,2.656
93.6,2.8653846154,2.682
93.7,2.8911419424,2.709
93.8,2.9157782516,2.735
93.9,2.9414270501,2.762
94,2.9659574468,2.788
94.1,2.991498406,2.815
94.2,3.0159235669,2.841
94.3,3.0413573701,2.868
94.4,3.0656779661,2.894
94.5,3.0899470899,2.92
94.6,3.1152219873,2.947
94.7,3.1393875396,2.973
94.8,3.164556962,3
94.9,3.1886195996,3.026
95,3.2136842105,3.053
95.1,3.2376445846,3.079
95.2,3.262605042,3.106
95.3,3.2864637985,3.132
95.4,3.3102725367,3.158
95.5,3.335078534,3.185
95.6,3.3587866109,3.211
95.7,3.3834900731,3.238
95.8,3.4070981211,3.264
95.9,3.4306569343,3.29
96,3.4552083333,3.317
96.1,3.4786680541,3.343
96.2,3.5031185031,3.37
96.3,3.5264797508,3.396
96.4,3.5497925311,3.422
96.5,3.5740932642,3.449
96.6,3.5973084886,3.475
96.7,3.620475698,3.501
96.8,3.6446280992,3.528
96.9,3.6676986584,3.554
97,3.6907216495,3.58
97.1,3.7136972194,3.606
97.2,3.737654321,3.633
97.3,3.7605344296,3.659
97.4,3.7833675565,3.685
97.5,3.8071794872,3.712
97.6,3.8299180328,3.738
97.7,3.8526100307,3.764
97.8,3.8752556237,3.79
97.9,3.897854954,3.816
98,3.9214285714,3.843
98.1,3.9439347604,3.869
98.2,3.966395112,3.895
98.3,3.988809766,3.921
98.4,4.0111788618,3.947
98.5,4.0345177665,3.974
98.6,4.0567951318,4
98.7,4.0790273556,4.026
98.8,4.1012145749,4.052
98.9,4.1233569262,4.078
99,4.1454545455,4.104
99.1,4.1675075681,4.13
99.2,4.189516129,4.156
99.3,4.2114803625,4.182
99.4,4.2334004024,4.208
99.5,4.2542713568,4.233
99.6,4.2761044177,4.259
99.7,4.296890672,4.284
99.8,4.3186372745,4.31
99.9,4.3393393393,4.335
100,4.359,4.359
100.1,4.3306693307,4.335
100.2,4.3013972056,4.31
100.3,4.2711864407,4.284
100.4,4.2420318725,4.259
100.5,4.2119402985,4.233
100.6,4.1829025845,4.208
100.7,4.1529294935,4.182
100.8,4.123015873,4.156
100.9,4.0931615461,4.13
101,4.0633663366,4.104
101.1,4.0336300692,4.078
101.2,4.0039525692,4.052
101.3,3.9743336624,4.026
101.4,3.9447731755,4
101.5,3.915270936,3.974
101.6,3.8848425197,3.947
101.7,3.8554572271,3.921
101.8,3.826129666,3.895
101.9,3.7968596663,3.869
102,3.7676470588,3.843
102.1,3.7375122429,3.816
102.2,3.7084148728,3.79
102.3,3.6793743891,3.764
102.4,3.650390625,3.738
102.5,3.6214634146,3.712
102.6,3.5916179337,3.685
102.7,3.5628042843,3.659
102.8,3.5340466926,3.633
102.9,3.5043731778,3.606
103,3.4757281553,3.58
103.1,3.4471387003,3.554
103.2,3.4186046512,3.528
103.3,3.3891577928,3.501
103.4,3.3607350097,3.475
103.5,3.3323671498,3.449
103.6,3.3030888031,3.422
103.7,3.274831244,3.396
103.8,3.246628131,3.37
103.9,3.2175168431,3.343
104,3.1894230769,3.317
104.1,3.1604226705,3.29
104.2,3.13243762,3.264
104.3,3.104506232,3.238
104.4,3.0756704981,3.211
104.5,3.04784689,3.185
104.6,3.0191204589,3.158
104.7,2.9914040115,3.132
104.8,2.963740458,3.106
104.9,2.9351763584,3.079
105,2.9076190476,3.053
105.1,2.8791627022,3.026
105.2,2.8517110266,3
105.3,2.8233618234,2.973
105.4,2.7960151803,2.947
105.5,2.7677725118,2.92
105.6,2.740530303,2.894
105.7,2.7133396405,2.868
105.8,2.6852551985,2.841
105.9,2.6581680831,2.815
106,2.6301886792,2.788
106.1,2.603204524,2.762
106.2,2.5753295669,2.735
106.3,2.5484477893,2.709
106.4,2.5206766917,2.682
106.5,2.4938967136,2.656
106.6,2.4662288931,2.629
106.7,2.4395501406,2.603
106.8,2.4119850187,2.576
106.9,2.3844714687,2.549
107,2.3579439252,2.523
107.1,2.3305322129,2.496
107.2,2.3041044776,2.47
107.3,2.2767940354,2.443
107.4,2.2504655493,2.417
107.5,2.223255814,2.39
107.6,2.1970260223,2.364
107.7,2.1699164345,2.337
107.8,2.1437847866,2.311
107.9,2.1167747915,2.284
108,2.0907407407,2.258
108.1,2.0638297872,2.231
108.2,2.0369685767,2.204
108.3,2.0110803324,2.178
108.4,1.9843173432,2.151
108.5,1.9585253456,2.125
108.6,1.9318600368,2.098
108.7,1.9061637534,2.072
108.8,1.8795955882,2.045
108.9,1.8530762167,2.018
109,1.8275229358,1.992
109.1,1.8010999083,1.965
109.2,1.7756410256,1.939
109.3,1.7493138152,1.912
109.4,1.7239488117,1.886
109.5,1.697716895,1.859
109.6,1.6724452555,1.833
109.7,1.646308113,1.806
109.8,1.6202185792,1.779
109.9,1.5950864422,1.753
110,1.5690909091,1.726
110.1,1.5440508629,1.7
110.2,1.5181488203,1.673
110.3,1.4932003626,1.647
110.4,1.4673913043,1.62
110.5,1.4416289593,1.593
110.6,1.4168173599,1.567
110.7,1.3911472448,1.54
110.8,1.3664259928,1.514
110.9,1.3408476105,1.487
111,1.3162162162,1.461
111.1,1.2907290729,1.434
111.2,1.2652877698,1.407
111.3,1.2407906559,1.381
111.4,1.2154398564,1.354
111.5,1.1910313901,1.328
111.6,1.1657706093,1.301
111.7,1.1414503133,1.275
111.8,1.1162790698,1.248
111.9,1.091152815,1.221
112,1.0669642857,1.195
112.1,1.041926851,1.168
112.2,1.0178253119,1.142
112.3,0.9928762244,1.115
112.4,0.96886121,1.089
112.5,0.944,1.062
112.6,0.920071048,1.036
112.7,0.8952972493,1.009
112.8,0.8705673759,0.982
112.9,0.8467670505,0.956
113,0.8221238938,0.929
113.1,0.7984084881,0.903
113.2,0.7738515901,0.876
113.3,0.7502206531,0.85
113.4,0.7257495591,0.823
113.5,0.7013215859,0.796
113.6,0.6778169014,0.77
113.7,0.6534740545,0.743
113.8,0.6300527241,0.717
113.9,0.6057945566,0.69
114,0.5824561404,0.664
114.1,0.5582822086,0.637
114.2,0.534150613,0.61
114.3,0.510936133,0.584
114.4,0.4868881119,0.557
114.5,0.4637554585,0.531
114.6,0.4397905759,0.504
114.7,0.41673932,0.478
114.8,0.3928571429,0.451
114.9,0.3690165361,0.424
