x,cv,s
85.1,0.6110458284,0.52
85.2,0.6490610329,0.553
85.3,0.6869871043,0.586
85.4,0.7236533958,0.618
85.5,0.7614035088,0.651
85.6,0.7978971963,0.683
85.7,0.8354725788,0.716
85.8,0.872960373,0.749
85.9,0.9091967404,0.781
86,0.9465116279,0.814
86.1,0.9825783972,0.846
86.2,1.0197215777,0.879
86.3,1.056778679,0.912
86.4,1.0925925926,0.944
86.5,1.1294797688,0.977
86.6,1.1651270208,1.009
86.7,1.2018454441,1.042
86.8,1.2373271889,1.074
86.9,1.2738780207,1.107
87,1.3103448276,1.14
87.1,1.3455797933,1.172
87.2,1.3818807339,1.205
87.3,1.4169530355,1.237
87.4,1.4530892449,1.27
87.5,1.4891428571,1.303
87.6,1.5239726027,1.335
87.7,1.5598631699,1.368
87.8,1.5945330296,1.4
87.9,1.630261661,1.433
88,1.6647727273,1.465
88.1,1.7003405221,1.498
88.2,1.7358276644,1.531
88.3,1.7701019253,1.563
88.4,1.8054298643,1.596
88.5,1.8395480226,1.628
88.6,1.874717833,1.661
88.7,1.908680947,1.693
88.8,1.9436936937,1.726
88.9,1.9786276715,1.759
89,2.0123595506,1.791
89.1,2.0471380471,1.824
89.2,2.0807174888,1.856
89.3,2.1153415454,1.889
89.4,2.1498881432,1.922
89.5,2.1832402235,1.954
89.6,2.2176339286,1.987
89.7,2.2508361204,2.019
89.8,2.285077951,2.052
89.9,2.318131257,2.084
90,2.3522222222,2.117
90.1,2.3862375139,2.15
90.2,2.4190687361,2.182
90.3,2.4529346622,2.215
90.4,2.485619469,2.247
90.5,2.5193370166,2.28
90.6,2.5518763797,2.312
90.7,2.585446527,2.345
90.8,2.6189427313,2.378
90.9,2.6512651265,2.41
91,2.6846153846,2.443
91.1,2.7167947311,2.475
91.2,2.75,2.508
91.3,2.7820372399,2.54
91.4,2.8150984683,2.573
91.5,2.8480874317,2.606
91.6,2.8799126638,2.638
91.7,2.9127589967,2.671
91.8,2.9444444444,2.703
91.9,2.9771490751,2.736
92,3.0086956522,2.768
92.1,3.0412595005,2.801
92.2,3.0737527115,2.834
92.3,3.105092091,2.866
92.4,3.1374458874,2.899
92.5,3.1686486486,2.931
92.6,3.2008639309,2.964
92.7,3.2319309601,2.996
92.8,3.2640086207,3.029
92.9,3.2949407966,3.061
93,3.3268817204,3.094
93.1,3.3576799141,3.126
93.2,3.3894849785,3.159
93.3,3.4201500536,3.191
93.4,3.4518201285,3.224
93.5,3.4823529412,3.256
93.6,3.5138888889,3.289
93.7,3.5442902882,3.321
93.8,3.5756929638,3.354
93.9,3.6059637913,3.386
94,3.6372340426,3.419
94.1,3.6673751328,3.451
94.2,3.6985138004,3.484
94.3,3.7285259809,3.516
94.4,3.7595338983,3.549
94.5,3.7894179894,3.581
94.6,3.8202959831,3.614
94.7,3.8500527983,3.646
94.8,3.8797468354,3.678
94.9,3.9104320337,3.711
95,3.94,3.743
95.1,3.9705573081,3.776
95.2,4,3.808
95.3,4.0293809024,3.84
95.4,4.0597484277,3.873
95.5,4.0890052356,3.905
95.6,4.1182008368,3.937
95.7,4.1483803553,3.97
95.8,4.1774530271,4.002
95.9,4.2064650678,4.034
96,4.2364583333,4.067
96.1,4.2653485952,4.099
96.2,4.2941787942,4.131
96.3,4.3239875389,4.164
96.4,4.3526970954,4.196
96.5,4.3813471503,4.228
96.6,4.4099378882,4.26
96.7,4.4395036194,4.293
96.8,4.4679752066,4.325
96.9,4.4963880289,4.357
97,4.524742268,4.389
97.1,4.553038105,4.421
97.2,4.5812757202,4.453
97.3,4.6104830421,4.486
97.4,4.6386036961,4.518
97.5,4.6666666667,4.55
97.6,4.6946721311,4.582
97.7,4.7226202661,4.614
97.8,4.7505112474,4.646
97.9,4.7783452503,4.678
98,4.806122449,4.71
98.1,4.8338430173,4.742
98.2,4.8615071283,4.774
98.3,4.8891149542,4.806
98.4,4.9166666667,4.838
98.5,4.9431472081,4.869
98.6,4.9705882353,4.901
98.7,4.9969604863,4.932
98.8,5.024291498,4.964
98.9,5.0505561173,4.995
99,5.0767676768,5.026
99.1,5.1019172553,5.056
99.2,5.127016129,5.086
99.3,5.1510574018,5.115
99.4,5.1750503018,5.144
99.5,5.1979899497,5.172
99.6,5.2208835341,5.2
99.7,5.2417251755,5.226
99.8,5.2615230461,5.251
99.9,5.2812812813,5.276
100,5.299,5.299
100.1,5.2707292707,5.276
100.2,5.2405189621,5.251
100.3,5.2103688933,5.226
100.4,5.1792828685,5.2
100.5,5.1462686567,5.172
100.6,5.1133200795,5.144
100.7,5.0794438928,5.115
100.8,5.0456349206,5.086
100.9,5.0109018831,5.056
101,4.9762376238,5.026
101.1,4.940652819,4.995
101.2,4.9051383399,4.964
101.3,4.8687068115,4.932
101.4,4.8333333333,4.901
101.5,4.797044335,4.869
101.6,4.7618110236,4.838
101.7,4.7256637168,4.806
101.8,4.6895874263,4.774
101.9,4.6535819431,4.742
102,4.6176470588,4.71
102.1,4.5817825661,4.678
102.2,4.5459882583,4.646
102.3,4.5102639296,4.614
102.4,4.474609375,4.582
102.5,4.4390243902,4.55
102.6,4.4035087719,4.518
102.7,4.3680623174,4.486
102.8,4.3317120623,4.453
102.9,4.296404276,4.421
103,4.2611650485,4.389
103.1,4.2259941804,4.357
103.2,4.1908914729,4.325
103.3,4.155856728,4.293
103.4,4.1199226306,4.26
103.5,4.0850241546,4.228
103.6,4.0501930502,4.196
103.7,4.0154291225,4.164
103.8,3.9797687861,4.131
103.9,3.9451395573,4.099
104,3.9105769231,4.067
104.1,3.8751200768,4.034
104.2,3.8406909789,4.002
104.3,3.8063279003,3.97
104.4,3.7710727969,3.937
104.5,3.7368421053,3.905
104.6,3.7026768642,3.873
104.7,3.6676217765,3.84
104.8,3.6335877863,3.808
104.9,3.5996186845,3.776
105,3.5647619048,3.743
105.1,3.5309229305,3.711
105.2,3.4961977186,3.678
105.3,3.4624881292,3.646
105.4,3.4288425047,3.614
105.5,3.3943127962,3.581
105.6,3.3607954545,3.549
105.7,3.3263954588,3.516
105.8,3.2930056711,3.484
105.9,3.2587346553,3.451
106,3.2254716981,3.419
106.1,3.191328935,3.386
106.2,3.1581920904,3.354
106.3,3.1241768579,3.321
106.4,3.0911654135,3.289
106.5,3.0572769953,3.256
106.6,3.0243902439,3.224
106.7,2.9906279288,3.191
106.8,2.9578651685,3.159
106.9,2.9242282507,3.126
107,2.891588785,3.094
107.1,2.858076564,3.061
107.2,2.8255597015,3.029
107.3,2.7921714818,2.996
107.4,2.7597765363,2.964
107.5,2.7265116279,2.931
107.6,2.6942379182,2.899
107.7,2.661095636,2.866
107.8,2.6289424861,2.834
107.9,2.5959221501,2.801
108,2.562962963,2.768
108.1,2.5309898242,2.736
108.2,2.4981515712,2.703
108.3,2.4662973223,2.671
108.4,2.4335793358,2.638
108.5,2.401843318,2.606
108.6,2.3692449355,2.573
108.7,2.3367065317,2.54
108.8,2.3051470588,2.508
108.9,2.2727272727,2.475
109,2.2412844037,2.443
109.1,2.2089825848,2.41
109.2,2.1776556777,2.378
109.3,2.1454711802,2.345
109.4,2.113345521,2.312
109.5,2.0821917808,2.28
109.6,2.0501824818,2.247
109.7,2.0191431176,2.215
109.8,1.9872495446,2.182
109.9,1.9563239308,2.15
110,1.9245454545,2.117
110.1,1.8928247048,2.084
110.2,1.8620689655,2.052
110.3,1.8304623753,2.019
110.4,1.7998188406,1.987
110.5,1.7683257919,1.954
110.6,1.7377938517,1.922
110.7,1.7064137308,1.889
110.8,1.6750902527,1.856
110.9,1.6447249775,1.824
111,1.6135135135,1.791
