x,cv,s
102.8,3.629377432,3.530522794
102.9,3.599611273,3.498164502
103,3.569902913,3.465925158
103.1,3.540252182,3.43380425
103.2,3.510658915,3.401801274
103.3,3.481122943,3.369915724
103.4,3.451644101,3.3381471
103.5,3.422222222,3.3064949
103.6,3.392857143,3.274958632
103.7,3.363548698,3.243537799
103.8,3.334296724,3.212231911
103.9,3.305101059,3.18104048
104,3.275961538,3.149963017
104.1,3.246878002,3.118999041
104.2,3.216890595,3.087227059
104.3,3.187919463,3.056490377
104.4,3.159003831,3.025865739
104.5,3.130143541,2.995352671
104.6,3.101338432,2.9649507
104.7,3.072588348,2.934659358
104.8,3.04389313,2.904478177
104.9,3.014299333,2.873497934
105,2.985714286,2.843537415
105.1,2.957183635,2.813685666
105.2,2.928707224,2.783942228
105.3,2.9002849,2.754306648
105.4,2.871916509,2.724778472
105.5,2.842654028,2.694458794
105.6,2.814393939,2.665145776
105.7,2.786187323,2.635938811
105.8,2.758034026,2.606837454
105.9,2.7299339,2.577841265
106,2.700943396,2.548059808
106.1,2.672950047,2.519274314
106.2,2.645009416,2.49059267
106.3,2.617121355,2.462014445
106.4,2.588345865,2.432655888
106.5,2.56056338,2.404284864
106.6,2.532833021,2.376015967
106.7,2.505154639,2.347848771
106.8,2.47659176,2.318906142
106.9,2.449017774,2.290942726
107,2.421495327,2.263079745
107.1,2.394024276,2.235316784
107.2,2.365671642,2.206783248
107.3,2.338303821,2.179220709
107.4,2.310986965,2.151756951
107.5,2.28372093,2.124391563
107.6,2.255576208,2.096260416
107.7,2.228412256,2.06909216
107.8,2.201298701,2.042021058
107.9,2.174235403,2.015046713
108,2.146296296,1.987311385
108.1,2.11933395,1.960530944
108.2,2.092421442,1.933846065
108.3,2.065558633,1.907256355
108.4,2.037822878,1.879910404
108.5,2.011059908,1.853511436
108.6,1.984346225,1.827206469
108.7,1.95676173,1.800148786
108.8,1.930147059,1.774032223
108.9,1.903581267,1.74800851
109,1.87706422,1.722077266
109.1,1.849679193,1.695397977
109.2,1.823260073,1.669652082
109.3,1.796889296,1.643997526
109.4,1.769652651,1.617598401
109.5,1.743378995,1.592126936
109.6,1.717153285,1.566745698
109.7,1.690975387,1.541454318
109.8,1.663934426,1.515422974
109.9,1.637852593,1.490311732
110,1.611818182,1.465289256
110.1,1.584922797,1.439530243
110.2,1.558983666,1.414685722
110.3,1.533091568,1.389928892
110.4,1.507246377,1.365259399
110.5,1.480542986,1.339857906
110.6,1.454792043,1.315363511
110.7,1.429087624,1.290955397
110.8,1.402527076,1.265818661
110.9,1.376916141,1.241583536
111,1.351351351,1.21743365
111.1,1.325832583,1.193368662
111.2,1.299460432,1.168579525
111.3,1.274034142,1.144684764
111.4,1.248653501,1.120873879
111.5,1.223318386,1.097146535
111.6,1.197132616,1.072699477
111.7,1.171888988,1.049139649
111.8,1.146690519,1.02566236
